ID,Timestamp,WinningTeam,RemainingVillagers,RemainingWerewolves,wa_type,wb_type,va_type,vb_type,vc_type,vd_type,ve_type
1,2025-04-09_08-47-04,0,5,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
2,2025-04-09_08-48-36,0,1,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
3,2025-04-09_08-50-44,0,1,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
4,2025-04-09_08-51-55,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
5,2025-04-09_08-53-35,0,1,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
6,2025-04-09_08-55-44,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
7,2025-04-09_08-57-39,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
8,2025-04-09_08-59-32,0,1,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
9,2025-04-09_09-01-30,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
10,2025-04-09_09-04-01,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
11,2025-04-09_09-05-34,0,3,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
12,2025-04-09_09-08-52,0,1,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
13,2025-04-09_09-11-28,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
14,2025-04-09_09-13-51,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
15,2025-04-09_09-14-55,0,3,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
16,2025-04-09_09-19-28,0,3,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
17,2025-04-09_09-20-47,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
18,2025-04-09_09-21-57,0,5,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
19,2025-04-09_09-23-31,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
20,2025-04-09_09-25-27,0,1,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
21,2025-04-09_09-27-00,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
22,2025-04-09_09-28-39,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
23,2025-04-09_09-29-58,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
24,2025-04-09_09-31-21,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
25,2025-04-09_09-32-54,0,2,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
26,2025-04-09_09-34-30,0,1,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
27,2025-04-09_09-36-18,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
28,2025-04-09_09-37-58,0,3,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
29,2025-04-09_09-39-42,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
30,2025-04-09_09-41-19,0,1,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
31,2025-04-09_09-43-43,0,1,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
32,2025-04-09_09-46-32,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
33,2025-04-09_09-48-43,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
34,2025-04-09_09-49-53,0,3,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
35,2025-04-09_09-50-56,0,3,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
36,2025-04-09_09-54-51,0,1,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
37,2025-04-09_09-56-12,0,3,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
38,2025-04-09_09-58-11,0,1,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
