ID,Timestamp,WinningTeam,RemainingVillagers,RemainingWerewolves,wa_type,wb_type,va_type,vb_type,vc_type,vd_type,ve_type
1,2025-04-16_08-48-06,1,0,1,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
2,2025-04-16_08-50-33,1,0,1,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
3,2025-04-16_08-52-32,1,0,1,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
4,2025-04-16_08-54-03,1,0,1,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
5,2025-04-16_08-56-21,0,1,0,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
6,2025-04-16_08-58-36,1,0,1,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
7,2025-04-16_09-00-46,1,0,1,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
8,2025-04-16_09-03-24,0,3,0,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
9,2025-04-16_09-07-42,1,0,1,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
10,2025-04-16_09-09-59,0,1,0,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
11,2025-04-16_09-13-20,0,1,0,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
12,2025-04-16_09-16-56,0,2,0,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
13,2025-04-16_09-19-53,1,0,1,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
14,2025-04-16_09-23-06,1,0,1,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
15,2025-04-16_09-27-37,1,0,1,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
16,2025-04-16_09-29-33,1,0,1,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
17,2025-04-16_09-32-18,1,0,1,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
18,2025-04-16_09-34-26,0,3,0,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
19,2025-04-16_09-38-23,1,0,1,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
20,2025-04-16_09-41-01,1,0,1,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
21,2025-04-21_13-10-53,0,3,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
22,2025-04-21_13-12-01,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
23,2025-04-21_13-14-03,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
24,2025-04-21_13-15-36,0,2,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
25,2025-04-21_13-16-28,0,3,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
26,2025-04-21_13-17-32,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
27,2025-04-21_13-19-02,0,3,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
28,2025-04-21_13-20-58,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
29,2025-04-21_13-23-05,0,1,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
30,2025-04-21_13-24-33,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
31,2025-04-21_13-26-13,0,1,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
32,2025-04-21_13-27-46,0,3,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
33,2025-04-21_13-28-55,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
34,2025-04-21_13-31-11,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
35,2025-04-21_13-32-57,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
36,2025-04-21_13-34-21,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
37,2025-04-21_13-35-48,0,3,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
