ID,Timestamp,WinningTeam,RemainingVillagers,RemainingWerewolves
1,2025-03-09_18-55-08,0,1,0
2,2025-03-09_19-01-20,0,3,0
3,2025-03-09_19-04-01,1,0,1
4,2025-03-09_19-13-54,1,0,1
5,2025-03-09_19-15-34,1,0,1
6,2025-03-09_19-17-07,1,0,1
7,2025-03-09_19-18-48,0,1,0
8,2025-03-09_19-20-20,1,0,1
9,2025-03-09_19-22-02,1,0,1
10,2025-03-09_19-23-54,1,0,1
11,2025-03-09_19-25-04,0,3,0
12,2025-03-09_19-27-54,0,1,0
13,2025-03-09_19-28-52,1,0,1
14,2025-03-09_19-30-51,1,0,1
15,2025-03-09_19-32-48,1,0,1
16,2025-03-09_19-35-04,0,1,0
17,2025-03-09_19-36-26,1,0,1
18,2025-03-09_19-38-20,1,0,1
19,2025-03-10_10-20-36,1,0,1
20,2025-03-10_10-22-14,0,3,0
21,2025-03-10_10-24-08,1,0,1
22,2025-03-10_10-27-42,0,1,0
23,2025-03-10_10-29-43,0,1,0
24,2025-03-10_10-31-17,0,1,0
25,2025-03-10_10-32-49,0,1,0
26,2025-03-10_10-36-58,1,0,1
27,2025-03-10_10-38-05,1,0,1
28,2025-03-10_10-39-36,0,1,0
29,2025-03-10_10-43-17,1,0,1
30,2025-03-10_10-44-50,0,1,0
31,2025-03-12_10-22-02,0,1,0
32,2025-03-12_10-25-10,1,0,1
33,2025-03-12_10-26-42,1,0,1
34,2025-03-12_10-28-47,0,1,0
35,2025-03-12_10-31-16,0,1,0
36,2025-03-12_10-32-56,0,3,0
37,2025-03-12_10-35-12,0,1,0
38,2025-03-12_10-39-13,1,0,1
39,2025-03-12_10-41-44,1,0,1
40,2025-03-12_10-43-27,0,3,0
41,2025-03-12_10-45-48,1,0,1
42,2025-03-12_10-47-17,0,3,0
43,2025-03-12_10-49-32,1,0,1
44,2025-03-12_10-51-15,0,1,0
45,2025-03-12_10-54-31,0,1,0
46,2025-03-12_16-12-40,1,0,1
47,2025-03-12_16-15-27,0,1,0
48,2025-03-12_16-17-28,1,0,1
49,2025-03-12_16-20-25,1,0,1
50,2025-03-12_16-22-49,1,0,1
51,2025-03-12_16-24-50,1,0,1
52,2025-03-12_16-27-17,1,0,1
53,2025-03-12_16-29-51,1,0,1
54,2025-03-12_16-31-36,0,3,0
55,2025-03-12_16-34-12,0,1,0
56,2025-03-12_16-34-51,0,5,0
57,2025-03-12_16-36-53,0,1,0
58,2025-03-12_16-39-07,1,0,1
59,2025-03-12_16-41-37,0,2,0
60,2025-03-12_16-43-59,1,0,1
61,2025-03-25_21-49-11,1,0,1
62,2025-03-25_21-53-02,1,0,1
63,2025-03-26_20-47-21,1,0,1
64,2025-03-26_20-51-31,1,0,1
65,2025-03-26_20-53-11,0,2,0
