ID,Timestamp,WinningTeam,RemainingVillagers,RemainingWerewolves,wa_type,wb_type,va_type,vb_type,vc_type,vd_type,ve_type
1,2025-09-08_13-02-09,V,1,0,FJ,FJ,,,,,
2,2025-09-08_13-02-23,V,1,0,FJ,FJ,,,,,
3,2025-09-08_13-02-36,V,1,0,FJ,FJ,,,,,
4,2025-09-08_13-02-49,W,0,2,FJ,FJ,,,,,
5,2025-09-08_13-03-01,V,1,0,FJ,FJ,,,,,
6,2025-09-08_13-03-14,V,1,0,FJ,FJ,,,,,
7,2025-09-08_13-03-26,V,1,0,FJ,FJ,,,,,
8,2025-09-08_13-03-38,V,1,0,FJ,FJ,,,,,
9,2025-09-08_13-03-51,V,1,0,FJ,FJ,,,,,
10,2025-09-08_13-04-04,V,1,0,FJ,FJ,,,,,
11,2025-09-08_13-04-20,V,1,0,FJ,FJ,,,,,
12,2025-09-08_13-04-37,V,1,0,FJ,FJ,,,,,
13,2025-09-08_13-04-49,V,1,0,FJ,FJ,,,,,
14,2025-09-08_13-05-03,V,1,0,FJ,FJ,,,,,
15,2025-09-08_13-05-23,W,0,2,FJ,FJ,,,,,
16,2025-09-08_13-05-37,V,1,0,FJ,FJ,,,,,
17,2025-09-08_13-05-50,V,1,0,FJ,FJ,,,,,
18,2025-09-08_13-06-06,V,1,0,FJ,FJ,,,,,
19,2025-09-08_13-06-23,V,1,0,FJ,FJ,,,,,
20,2025-09-08_13-06-37,V,1,0,FJ,FJ,,,,,
21,2025-09-08_13-06-51,V,1,0,FJ,FJ,,,,,
22,2025-09-08_13-07-01,V,3,0,FJ,FJ,,,,,
23,2025-09-08_13-07-12,W,0,1,FJ,FJ,,,,,
24,2025-09-08_13-07-26,V,1,0,FJ,FJ,,,,,
25,2025-09-08_13-07-43,V,1,0,FJ,FJ,,,,,
26,2025-09-08_13-07-57,W,0,2,FJ,FJ,,,,,
27,2025-09-08_13-08-11,V,1,0,FJ,FJ,,,,,
28,2025-09-08_13-08-24,W,0,1,FJ,FJ,,,,,
29,2025-09-08_13-08-40,V,1,0,FJ,FJ,,,,,
30,2025-09-08_13-08-52,W,0,1,FJ,FJ,,,,,
31,2025-09-08_13-09-05,W,0,1,FJ,FJ,,,,,
32,2025-09-08_13-09-17,W,0,1,FJ,FJ,,,,,
33,2025-09-08_13-09-30,W,0,1,FJ,FJ,,,,,
34,2025-09-08_13-09-44,W,0,1,FJ,FJ,,,,,
35,2025-09-08_13-09-59,V,1,0,FJ,FJ,,,,,
36,2025-09-08_13-10-11,V,1,0,FJ,FJ,,,,,
37,2025-09-08_13-10-23,V,1,0,FJ,FJ,,,,,
38,2025-09-08_13-10-35,V,1,0,FJ,FJ,,,,,
39,2025-09-08_13-10-50,V,3,0,FJ,FJ,,,,,
40,2025-09-08_13-11-04,V,1,0,FJ,FJ,,,,,
