ID,Timestamp,WinningTeam,RemainingVillagers,RemainingWerewolves,wa_type,wb_type,va_type,vb_type,vc_type,vd_type,ve_type
1,2025-09-08_12-52-29,W,0,1,FP,FP,,,,,
2,2025-09-08_12-52-45,W,0,1,FP,FP,,,,,
3,2025-09-08_12-52-59,W,0,1,FP,FP,,,,,
4,2025-09-08_12-53-16,V,1,0,FP,FP,,,,,
5,2025-09-08_12-53-32,W,0,1,FP,FP,,,,,
6,2025-09-08_12-53-46,V,1,0,FP,FP,,,,,
7,2025-09-08_12-53-59,W,0,2,FP,FP,,,,,
8,2025-09-08_12-54-11,W,0,1,FP,FP,,,,,
9,2025-09-08_12-54-25,W,0,1,FP,FP,,,,,
10,2025-09-08_12-54-40,W,0,2,FP,FP,,,,,
11,2025-09-08_12-54-57,V,1,0,FP,FP,,,,,
12,2025-09-08_12-55-11,W,0,1,FP,FP,,,,,
13,2025-09-08_12-55-24,W,0,2,FP,FP,,,,,
14,2025-09-08_12-55-37,V,3,0,FP,FP,,,,,
15,2025-09-08_12-55-49,W,0,1,FP,FP,,,,,
16,2025-09-08_12-56-03,W,0,1,FP,FP,,,,,
17,2025-09-08_12-56-19,V,1,0,FP,FP,,,,,
18,2025-09-08_12-56-32,W,0,1,FP,FP,,,,,
19,2025-09-08_12-56-46,W,0,1,FP,FP,,,,,
20,2025-09-08_12-56-59,V,3,0,FP,FP,,,,,
21,2025-09-08_12-57-13,W,0,1,FP,FP,,,,,
22,2025-09-08_12-57-31,V,1,0,FP,FP,,,,,
23,2025-09-08_12-57-49,W,0,2,FP,FP,,,,,
24,2025-09-08_12-58-05,W,0,2,FP,FP,,,,,
25,2025-09-08_12-58-17,V,1,0,FP,FP,,,,,
26,2025-09-08_12-58-36,W,0,1,FP,FP,,,,,
27,2025-09-08_12-58-51,W,0,1,FP,FP,,,,,
28,2025-09-08_12-59-02,V,1,0,FP,FP,,,,,
29,2025-09-08_12-59-15,V,1,0,FP,FP,,,,,
30,2025-09-08_12-59-30,V,1,0,FP,FP,,,,,
31,2025-09-08_12-59-43,V,1,0,FP,FP,,,,,
32,2025-09-08_12-59-59,V,1,0,FP,FP,,,,,
33,2025-09-08_13-00-14,V,1,0,FP,FP,,,,,
34,2025-09-08_13-00-32,W,0,1,FP,FP,,,,,
35,2025-09-08_13-00-44,W,0,1,FP,FP,,,,,
36,2025-09-08_13-00-57,V,1,0,FP,FP,,,,,
37,2025-09-08_13-01-11,W,0,1,FP,FP,,,,,
38,2025-09-08_13-01-24,V,1,0,FP,FP,,,,,
39,2025-09-08_13-01-38,W,0,1,FP,FP,,,,,
40,2025-09-08_13-01-55,W,0,2,FP,FP,,,,,
