ID,Timestamp,WinningTeam,RemainingVillagers,RemainingWerewolves,wa_type,wb_type,va_type,vb_type,vc_type,vd_type,ve_type
1,2025-09-08_12-42-30,V,1,0,TJ,TJ,,,,,
2,2025-09-08_12-42-45,V,1,0,TJ,TJ,,,,,
3,2025-09-08_12-43-00,V,1,0,TJ,TJ,,,,,
4,2025-09-08_12-43-14,V,1,0,TJ,TJ,,,,,
5,2025-09-08_12-43-28,V,1,0,TJ,TJ,,,,,
6,2025-09-08_12-43-47,V,1,0,TJ,TJ,,,,,
7,2025-09-08_12-44-02,V,3,0,TJ,TJ,,,,,
8,2025-09-08_12-44-22,W,0,1,TJ,TJ,,,,,
9,2025-09-08_12-44-37,W,0,2,TJ,TJ,,,,,
10,2025-09-08_12-44-50,V,1,0,TJ,TJ,,,,,
11,2025-09-08_12-45-10,V,1,0,TJ,TJ,,,,,
12,2025-09-08_12-45-27,V,1,0,TJ,TJ,,,,,
13,2025-09-08_12-45-43,V,1,0,TJ,TJ,,,,,
14,2025-09-08_12-45-58,V,1,0,TJ,TJ,,,,,
15,2025-09-08_12-46-13,W,0,1,TJ,TJ,,,,,
16,2025-09-08_12-46-32,V,1,0,TJ,TJ,,,,,
17,2025-09-08_12-46-50,V,1,0,TJ,TJ,,,,,
18,2025-09-08_12-47-05,V,1,0,TJ,TJ,,,,,
19,2025-09-08_12-47-18,W,0,1,TJ,TJ,,,,,
20,2025-09-08_12-47-36,V,1,0,TJ,TJ,,,,,
21,2025-09-08_12-47-48,V,1,0,TJ,TJ,,,,,
22,2025-09-08_12-48-02,V,1,0,TJ,TJ,,,,,
23,2025-09-08_12-48-15,V,1,0,TJ,TJ,,,,,
24,2025-09-08_12-48-28,V,1,0,TJ,TJ,,,,,
25,2025-09-08_12-48-42,V,1,0,TJ,TJ,,,,,
26,2025-09-08_12-48-56,V,1,0,TJ,TJ,,,,,
27,2025-09-08_12-49-10,W,0,1,TJ,TJ,,,,,
28,2025-09-08_12-49-23,W,0,2,TJ,TJ,,,,,
29,2025-09-08_12-49-38,W,0,1,TJ,TJ,,,,,
30,2025-09-08_12-49-55,V,1,0,TJ,TJ,,,,,
31,2025-09-08_12-50-08,V,1,0,TJ,TJ,,,,,
32,2025-09-08_12-50-22,V,1,0,TJ,TJ,,,,,
33,2025-09-08_12-50-36,V,1,0,TJ,TJ,,,,,
34,2025-09-08_12-50-49,V,1,0,TJ,TJ,,,,,
35,2025-09-08_12-51-02,W,0,1,TJ,TJ,,,,,
36,2025-09-08_12-51-15,V,1,0,TJ,TJ,,,,,
37,2025-09-08_12-51-30,V,1,0,TJ,TJ,,,,,
38,2025-09-08_12-51-45,W,0,1,TJ,TJ,,,,,
39,2025-09-08_12-51-59,V,1,0,TJ,TJ,,,,,
40,2025-09-08_12-52-15,W,0,1,TJ,TJ,,,,,
