ID,Timestamp,WinningTeam,RemainingVillagers,RemainingWerewolves,wa_type,wb_type,va_type,vb_type,vc_type,vd_type,ve_type
1,2025-09-08_12-32-05,W,0,1,TP,TP,,,,,
2,2025-09-08_12-32-21,V,1,0,TP,TP,,,,,
3,2025-09-08_12-32-41,W,0,2,TP,TP,,,,,
4,2025-09-08_12-32-54,W,0,2,TP,TP,,,,,
5,2025-09-08_12-33-08,W,0,1,TP,TP,,,,,
6,2025-09-08_12-33-23,W,0,1,TP,TP,,,,,
7,2025-09-08_12-33-38,W,0,1,TP,TP,,,,,
8,2025-09-08_12-33-53,V,1,0,TP,TP,,,,,
9,2025-09-08_12-34-07,V,1,0,TP,TP,,,,,
10,2025-09-08_12-34-22,V,1,0,TP,TP,,,,,
11,2025-09-08_12-34-35,V,1,0,TP,TP,,,,,
12,2025-09-08_12-34-51,V,1,0,TP,TP,,,,,
13,2025-09-08_12-35-09,V,1,0,TP,TP,,,,,
14,2025-09-08_12-35-28,V,3,0,TP,TP,,,,,
15,2025-09-08_12-35-44,V,1,0,TP,TP,,,,,
16,2025-09-08_12-35-58,V,1,0,TP,TP,,,,,
17,2025-09-08_12-36-13,V,1,0,TP,TP,,,,,
18,2025-09-08_12-36-25,W,0,1,TP,TP,,,,,
19,2025-09-08_12-36-40,W,0,1,TP,TP,,,,,
20,2025-09-08_12-36-56,V,1,0,TP,TP,,,,,
21,2025-09-08_12-37-14,W,0,1,TP,TP,,,,,
22,2025-09-08_12-37-30,W,0,1,TP,TP,,,,,
23,2025-09-08_12-37-44,V,1,0,TP,TP,,,,,
24,2025-09-08_12-38-08,W,0,1,TP,TP,,,,,
25,2025-09-08_12-38-18,V,3,0,TP,TP,,,,,
26,2025-09-08_12-38-36,W,0,1,TP,TP,,,,,
27,2025-09-08_12-38-49,V,1,0,TP,TP,,,,,
28,2025-09-08_12-39-04,V,1,0,TP,TP,,,,,
29,2025-09-08_12-39-19,V,1,0,TP,TP,,,,,
30,2025-09-08_12-39-37,V,1,0,TP,TP,,,,,
31,2025-09-08_12-39-50,V,1,0,TP,TP,,,,,
32,2025-09-08_12-40-05,V,1,0,TP,TP,,,,,
33,2025-09-08_12-40-22,V,1,0,TP,TP,,,,,
34,2025-09-08_12-40-37,V,1,0,TP,TP,,,,,
35,2025-09-08_12-40-50,W,0,1,TP,TP,,,,,
36,2025-09-08_12-41-11,V,1,0,TP,TP,,,,,
37,2025-09-08_12-41-27,V,1,0,TP,TP,,,,,
38,2025-09-08_12-41-41,V,1,0,TP,TP,,,,,
39,2025-09-08_12-41-55,V,1,0,TP,TP,,,,,
40,2025-09-08_12-42-14,V,1,0,TP,TP,,,,,
