ID,Timestamp,WinningTeam,RemainingVillagers,RemainingWerewolves,wa_type,wb_type,va_type,vb_type,vc_type,vd_type,ve_type
1,2025-05-30_12-22-57,0,5,0,alt,alt,alt,alt,alt,alt,alt
2,2025-05-30_12-24-00,1,0,1,alt,alt,alt,alt,alt,alt,alt
3,2025-05-30_12-29-15,0,3,0,alt,alt,alt,alt,alt,alt,alt
4,2025-05-30_12-50-47,0,1,0,alt,alt,alt,alt,alt,alt,alt
5,2025-05-30_12-53-05,1,0,1,alt,alt,alt,alt,alt,alt,alt
6,2025-06-03_14-41-59,0,2,0,alt,alt,alt,alt,alt,alt,alt
7,2025-06-03_14-43-12,0,2,0,alt,alt,alt,alt,alt,alt,alt
8,2025-06-03_14-45-35,1,0,1,alt,alt,alt,alt,alt,alt,alt
9,2025-06-03_14-47-06,0,1,0,alt,alt,alt,alt,alt,alt,alt
10,2025-06-03_14-48-15,1,0,1,alt,alt,alt,alt,alt,alt,alt
11,2025-06-03_14-57-24,0,2,0,alt,alt,alt,alt,alt,alt,alt
12,2025-06-03_14-59-17,1,0,1,alt,alt,alt,alt,alt,alt,alt
13,2025-06-03_15-00-26,0,2,0,alt,alt,alt,alt,alt,alt,alt
14,2025-06-03_15-02-45,0,2,0,alt,alt,alt,alt,alt,alt,alt
15,2025-06-03_15-04-18,1,0,1,alt,alt,alt,alt,alt,alt,alt
16,2025-06-03_15-05-53,0,2,0,alt,alt,alt,alt,alt,alt,alt
17,2025-06-03_15-08-14,0,1,0,alt,alt,alt,alt,alt,alt,alt
18,2025-06-03_15-11-00,1,0,1,alt,alt,alt,alt,alt,alt,alt
