ID,Timestamp,WinningTeam,RemainingVillagers,RemainingWerewolves,wa_type,wb_type,va_type,vb_type,vc_type,vd_type,ve_type
1,2025-09-08_10-40-05,V,1,0,not_trying_werewolf,not_trying_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
2,2025-09-08_10-40-23,W,0,2,not_trying_werewolf,not_trying_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
3,2025-09-08_10-40-39,V,1,0,not_trying_werewolf,not_trying_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
4,2025-09-08_10-40-53,V,1,0,not_trying_werewolf,not_trying_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
5,2025-09-08_10-41-06,V,1,0,not_trying_werewolf,not_trying_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
6,2025-09-08_10-41-21,W,0,1,not_trying_werewolf,not_trying_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
7,2025-09-08_10-41-39,V,1,0,not_trying_werewolf,not_trying_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
8,2025-09-08_10-41-53,W,0,1,not_trying_werewolf,not_trying_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
9,2025-09-08_10-42-09,W,0,1,not_trying_werewolf,not_trying_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
10,2025-09-08_10-42-21,W,0,2,not_trying_werewolf,not_trying_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
11,2025-09-08_10-42-34,W,0,1,not_trying_werewolf,not_trying_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
12,2025-09-08_10-42-49,V,1,0,not_trying_werewolf,not_trying_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
13,2025-09-08_10-43-05,V,1,0,not_trying_werewolf,not_trying_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
14,2025-09-08_10-43-20,V,1,0,not_trying_werewolf,not_trying_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
15,2025-09-08_10-43-38,W,0,1,not_trying_werewolf,not_trying_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
16,2025-09-08_10-43-52,V,1,0,not_trying_werewolf,not_trying_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
17,2025-09-08_10-44-05,W,0,2,not_trying_werewolf,not_trying_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
