ID,Timestamp,WinningTeam,RemainingVillagers,RemainingWerewolves,wa_type,wb_type,va_type,vb_type,vc_type,vd_type,ve_type
1,2025-04-16_10-02-21,0,1,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
2,2025-04-16_10-05-42,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
3,2025-04-16_10-07-56,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
4,2025-04-16_10-10-16,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
5,2025-04-16_10-12-24,0,2,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
6,2025-04-16_10-14-52,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
7,2025-04-16_10-16-45,0,1,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
8,2025-04-16_10-17-50,0,3,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
9,2025-04-16_10-19-31,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
10,2025-04-16_10-21-32,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
11,2025-04-16_10-23-43,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
12,2025-04-16_10-26-51,0,1,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
13,2025-04-16_10-29-12,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
14,2025-04-16_10-30-47,0,3,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
15,2025-04-16_10-32-57,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
16,2025-04-16_10-34-45,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
17,2025-04-16_10-37-49,0,3,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
18,2025-04-16_10-40-43,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
19,2025-04-16_10-45-22,0,1,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
20,2025-04-16_10-46-21,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
