ID,Timestamp,WinningTeam,RemainingVillagers,RemainingWerewolves,wa_type,wb_type,va_type,vb_type,vc_type,vd_type,ve_type
1,2025-05-27_11-46-32,0,3,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
2,2025-05-27_11-47-50,0,1,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
3,2025-05-27_11-49-35,0,1,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
4,2025-05-27_11-51-49,0,2,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
5,2025-05-27_11-53-02,0,3,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
6,2025-05-27_11-55-04,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
7,2025-05-27_11-57-06,0,1,0,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
8,2025-05-27_11-59-15,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
9,2025-05-27_12-01-33,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
10,2025-05-27_12-04-26,1,0,1,not_trying_werewolf,not_trying_werewolf,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager,aggressive_villager
p = 0.4
