ID,Timestamp,WinningTeam,RemainingVillagers,RemainingWerewolves,wa_type,wb_type,va_type,vb_type,vc_type,vd_type,ve_type
1,2025-09-04_20-53-42,V,1,0,FJ,FJ,FJ,FJ,FJ,FJ,FJ
2,2025-09-04_20-53-53,V,1,0,FJ,FJ,FJ,FJ,FJ,FJ,FJ
3,2025-09-04_20-54-04,V,1,0,FJ,FJ,FJ,FJ,FJ,FJ,FJ
4,2025-09-04_20-54-16,W,0,2,FJ,FJ,FJ,FJ,FJ,FJ,FJ
5,2025-09-04_20-54-28,V,1,0,FJ,FJ,FJ,FJ,FJ,FJ,FJ
6,2025-09-04_20-54-47,V,1,0,FJ,FJ,FJ,FJ,FJ,FJ,FJ
7,2025-09-04_20-54-59,V,1,0,FJ,FJ,FJ,FJ,FJ,FJ,FJ
8,2025-09-04_20-55-09,V,1,0,FJ,FJ,FJ,FJ,FJ,FJ,FJ
9,2025-09-04_20-55-19,V,1,0,FJ,FJ,FJ,FJ,FJ,FJ,FJ
10,2025-09-04_20-55-31,V,1,0,FJ,FJ,FJ,FJ,FJ,FJ,FJ
11,2025-09-04_20-55-45,W,0,2,FJ,FJ,FJ,FJ,FJ,FJ,FJ
12,2025-09-04_20-55-56,V,1,0,FJ,FJ,FJ,FJ,FJ,FJ,FJ
13,2025-09-04_20-56-07,V,1,0,FJ,FJ,FJ,FJ,FJ,FJ,FJ
14,2025-09-04_20-56-18,W,0,1,FJ,FJ,FJ,FJ,FJ,FJ,FJ
15,2025-09-04_20-56-28,V,1,0,FJ,FJ,FJ,FJ,FJ,FJ,FJ
16,2025-09-04_20-56-39,W,0,1,FJ,FJ,FJ,FJ,FJ,FJ,FJ
17,2025-09-04_20-56-50,V,1,0,FJ,FJ,FJ,FJ,FJ,FJ,FJ
18,2025-09-04_20-57-02,V,1,0,FJ,FJ,FJ,FJ,FJ,FJ,FJ
19,2025-09-04_20-57-15,V,1,0,FJ,FJ,FJ,FJ,FJ,FJ,FJ
20,2025-09-04_20-57-27,W,0,1,FJ,FJ,FJ,FJ,FJ,FJ,FJ
21,2025-09-04_20-57-42,V,1,0,FJ,FJ,FJ,FJ,FJ,FJ,FJ
22,2025-09-04_20-57-55,V,1,0,FJ,FJ,FJ,FJ,FJ,FJ,FJ
23,2025-09-04_20-58-09,W,0,1,FJ,FJ,FJ,FJ,FJ,FJ,FJ
24,2025-09-04_20-58-21,W,0,1,FJ,FJ,FJ,FJ,FJ,FJ,FJ
25,2025-09-04_20-58-30,V,3,0,FJ,FJ,FJ,FJ,FJ,FJ,FJ
26,2025-09-04_20-58-43,W,0,1,FJ,FJ,FJ,FJ,FJ,FJ,FJ
27,2025-09-04_20-58-57,V,1,0,FJ,FJ,FJ,FJ,FJ,FJ,FJ
28,2025-09-04_20-59-10,V,1,0,FJ,FJ,FJ,FJ,FJ,FJ,FJ
29,2025-09-04_20-59-23,W,0,1,FJ,FJ,FJ,FJ,FJ,FJ,FJ
30,2025-09-04_20-59-39,V,1,0,FJ,FJ,FJ,FJ,FJ,FJ,FJ
31,2025-09-04_20-59-52,V,1,0,FJ,FJ,FJ,FJ,FJ,FJ,FJ
32,2025-09-04_21-00-03,W,0,2,FJ,FJ,FJ,FJ,FJ,FJ,FJ
33,2025-09-04_21-00-15,V,1,0,FJ,FJ,FJ,FJ,FJ,FJ,FJ
34,2025-09-04_21-00-27,V,1,0,FJ,FJ,FJ,FJ,FJ,FJ,FJ
35,2025-09-04_21-00-38,V,1,0,FJ,FJ,FJ,FJ,FJ,FJ,FJ
36,2025-09-04_21-00-50,V,1,0,FJ,FJ,FJ,FJ,FJ,FJ,FJ
37,2025-09-04_21-01-02,V,1,0,FJ,FJ,FJ,FJ,FJ,FJ,FJ
38,2025-09-04_21-01-14,W,0,1,FJ,FJ,FJ,FJ,FJ,FJ,FJ
39,2025-09-04_21-01-27,W,0,1,FJ,FJ,FJ,FJ,FJ,FJ,FJ
40,2025-09-04_21-01-39,V,1,0,FJ,FJ,FJ,FJ,FJ,FJ,FJ
