ID,Timestamp,WinningTeam,RemainingVillagers,RemainingWerewolves,wa_type,wb_type,va_type,vb_type,vc_type,vd_type,ve_type
1,2025-09-04_17-39-57,V,1,0,FP,FP,FJ,FJ,FJ,FJ,FJ
2,2025-09-04_17-40-13,W,0,1,FP,FP,FJ,FJ,FJ,FJ,FJ
3,2025-09-04_17-40-27,W,0,1,FP,FP,FJ,FJ,FJ,FJ,FJ
4,2025-09-04_17-40-41,W,0,2,FP,FP,FJ,FJ,FJ,FJ,FJ
5,2025-09-04_17-40-51,W,0,1,FP,FP,FJ,FJ,FJ,FJ,FJ
6,2025-09-04_17-41-07,V,1,0,FP,FP,FJ,FJ,FJ,FJ,FJ
7,2025-09-04_17-41-22,W,0,1,FP,FP,FJ,FJ,FJ,FJ,FJ
8,2025-09-04_17-41-35,V,1,0,FP,FP,FJ,FJ,FJ,FJ,FJ
9,2025-09-04_17-41-47,V,1,0,FP,FP,FJ,FJ,FJ,FJ,FJ
10,2025-09-04_17-41-58,V,1,0,FP,FP,FJ,FJ,FJ,FJ,FJ
11,2025-09-04_17-42-11,V,1,0,FP,FP,FJ,FJ,FJ,FJ,FJ
12,2025-09-04_17-42-25,V,1,0,FP,FP,FJ,FJ,FJ,FJ,FJ
13,2025-09-04_17-42-41,W,0,1,FP,FP,FJ,FJ,FJ,FJ,FJ
14,2025-09-04_17-42-52,W,0,1,FP,FP,FJ,FJ,FJ,FJ,FJ
15,2025-09-04_17-43-02,V,3,0,FP,FP,FJ,FJ,FJ,FJ,FJ
16,2025-09-04_17-43-12,W,0,2,FP,FP,FJ,FJ,FJ,FJ,FJ
17,2025-09-04_17-43-25,V,1,0,FP,FP,FJ,FJ,FJ,FJ,FJ
18,2025-09-04_17-43-38,W,0,1,FP,FP,FJ,FJ,FJ,FJ,FJ
19,2025-09-04_17-43-55,V,1,0,FP,FP,FJ,FJ,FJ,FJ,FJ
20,2025-09-04_17-44-13,W,0,1,FP,FP,FJ,FJ,FJ,FJ,FJ
21,2025-09-04_17-44-29,W,0,1,FP,FP,FJ,FJ,FJ,FJ,FJ
22,2025-09-04_17-44-43,V,3,0,FP,FP,FJ,FJ,FJ,FJ,FJ
23,2025-09-04_17-44-57,W,0,1,FP,FP,FJ,FJ,FJ,FJ,FJ
24,2025-09-04_17-45-09,V,1,0,FP,FP,FJ,FJ,FJ,FJ,FJ
25,2025-09-04_17-45-24,W,0,1,FP,FP,FJ,FJ,FJ,FJ,FJ
26,2025-09-04_17-45-37,W,0,1,FP,FP,FJ,FJ,FJ,FJ,FJ
27,2025-09-04_17-45-50,V,1,0,FP,FP,FJ,FJ,FJ,FJ,FJ
28,2025-09-04_17-46-02,V,1,0,FP,FP,FJ,FJ,FJ,FJ,FJ
29,2025-09-04_17-46-15,W,0,2,FP,FP,FJ,FJ,FJ,FJ,FJ
30,2025-09-04_17-46-30,W,0,1,FP,FP,FJ,FJ,FJ,FJ,FJ
31,2025-09-04_17-46-42,W,0,1,FP,FP,FJ,FJ,FJ,FJ,FJ
32,2025-09-04_17-46-53,W,0,1,FP,FP,FJ,FJ,FJ,FJ,FJ
33,2025-09-04_17-47-07,V,1,0,FP,FP,FJ,FJ,FJ,FJ,FJ
34,2025-09-04_17-47-20,W,0,2,FP,FP,FJ,FJ,FJ,FJ,FJ
35,2025-09-04_17-47-35,W,0,1,FP,FP,FJ,FJ,FJ,FJ,FJ
36,2025-09-04_17-47-48,V,1,0,FP,FP,FJ,FJ,FJ,FJ,FJ
37,2025-09-04_17-48-01,V,1,0,FP,FP,FJ,FJ,FJ,FJ,FJ
38,2025-09-04_17-48-14,W,0,1,FP,FP,FJ,FJ,FJ,FJ,FJ
39,2025-09-04_17-48-31,W,0,1,FP,FP,FJ,FJ,FJ,FJ,FJ
40,2025-09-04_17-48-44,V,1,0,FP,FP,FJ,FJ,FJ,FJ,FJ
