ID,Timestamp,WinningTeam,RemainingVillagers,RemainingWerewolves,wa_type,wb_type,va_type,vb_type,vc_type,vd_type,ve_type
1,2025-09-04_17-00-10,V,1,0,TJ,TJ,FJ,FJ,FJ,FJ,FJ
2,2025-09-04_17-00-19,V,3,0,TJ,TJ,FJ,FJ,FJ,FJ,FJ
3,2025-09-04_17-00-33,V,1,0,TJ,TJ,FJ,FJ,FJ,FJ,FJ
4,2025-09-04_17-00-47,V,1,0,TJ,TJ,FJ,FJ,FJ,FJ,FJ
5,2025-09-04_17-01-00,V,1,0,TJ,TJ,FJ,FJ,FJ,FJ,FJ
6,2025-09-04_17-01-15,V,1,0,TJ,TJ,FJ,FJ,FJ,FJ,FJ
7,2025-09-04_17-01-30,V,1,0,TJ,TJ,FJ,FJ,FJ,FJ,FJ
8,2025-09-04_17-01-42,V,1,0,TJ,TJ,FJ,FJ,FJ,FJ,FJ
9,2025-09-04_17-01-56,W,0,1,TJ,TJ,FJ,FJ,FJ,FJ,FJ
10,2025-09-04_17-02-09,W,0,1,TJ,TJ,FJ,FJ,FJ,FJ,FJ
11,2025-09-04_17-02-21,W,0,2,TJ,TJ,FJ,FJ,FJ,FJ,FJ
12,2025-09-04_17-02-33,W,0,2,TJ,TJ,FJ,FJ,FJ,FJ,FJ
13,2025-09-04_17-02-45,V,1,0,TJ,TJ,FJ,FJ,FJ,FJ,FJ
14,2025-09-04_17-02-56,V,1,0,TJ,TJ,FJ,FJ,FJ,FJ,FJ
15,2025-09-04_17-03-08,W,0,1,TJ,TJ,FJ,FJ,FJ,FJ,FJ
16,2025-09-04_17-03-21,V,1,0,TJ,TJ,FJ,FJ,FJ,FJ,FJ
17,2025-09-04_17-03-34,V,1,0,TJ,TJ,FJ,FJ,FJ,FJ,FJ
18,2025-09-04_17-03-47,V,1,0,TJ,TJ,FJ,FJ,FJ,FJ,FJ
19,2025-09-04_17-03-58,V,1,0,TJ,TJ,FJ,FJ,FJ,FJ,FJ
20,2025-09-04_17-04-10,V,1,0,TJ,TJ,FJ,FJ,FJ,FJ,FJ
21,2025-09-04_17-04-22,V,1,0,TJ,TJ,FJ,FJ,FJ,FJ,FJ
22,2025-09-04_17-04-31,V,3,0,TJ,TJ,FJ,FJ,FJ,FJ,FJ
23,2025-09-04_17-04-43,V,1,0,TJ,TJ,FJ,FJ,FJ,FJ,FJ
24,2025-09-04_17-04-55,V,1,0,TJ,TJ,FJ,FJ,FJ,FJ,FJ
25,2025-09-04_17-05-09,W,0,1,TJ,TJ,FJ,FJ,FJ,FJ,FJ
26,2025-09-04_17-05-20,V,1,0,TJ,TJ,FJ,FJ,FJ,FJ,FJ
27,2025-09-04_17-05-32,V,1,0,TJ,TJ,FJ,FJ,FJ,FJ,FJ
28,2025-09-04_17-05-44,W,0,1,TJ,TJ,FJ,FJ,FJ,FJ,FJ
29,2025-09-04_17-05-56,W,0,1,TJ,TJ,FJ,FJ,FJ,FJ,FJ
30,2025-09-04_17-06-09,W,0,1,TJ,TJ,FJ,FJ,FJ,FJ,FJ
31,2025-09-04_17-06-20,W,0,2,TJ,TJ,FJ,FJ,FJ,FJ,FJ
32,2025-09-04_17-06-31,W,0,1,TJ,TJ,FJ,FJ,FJ,FJ,FJ
33,2025-09-04_17-06-45,V,1,0,TJ,TJ,FJ,FJ,FJ,FJ,FJ
34,2025-09-04_17-06-57,W,0,1,TJ,TJ,FJ,FJ,FJ,FJ,FJ
35,2025-09-04_17-07-09,V,1,0,TJ,TJ,FJ,FJ,FJ,FJ,FJ
36,2025-09-04_17-07-21,W,0,1,TJ,TJ,FJ,FJ,FJ,FJ,FJ
37,2025-09-04_17-07-33,W,0,1,TJ,TJ,FJ,FJ,FJ,FJ,FJ
38,2025-09-04_17-07-46,V,1,0,TJ,TJ,FJ,FJ,FJ,FJ,FJ
39,2025-09-04_17-07-58,V,1,0,TJ,TJ,FJ,FJ,FJ,FJ,FJ
40,2025-09-04_17-08-07,V,3,0,TJ,TJ,FJ,FJ,FJ,FJ,FJ
