ID,Timestamp,WinningTeam,RemainingVillagers,RemainingWerewolves,wa_type,wb_type,va_type,vb_type,vc_type,vd_type,ve_type
1,2025-09-04_18-06-18,V,1,0,TP,TP,FJ,FJ,FJ,FJ,FJ
2,2025-09-04_18-06-35,W,0,1,TP,TP,FJ,FJ,FJ,FJ,FJ
3,2025-09-04_18-06-48,V,1,0,TP,TP,FJ,FJ,FJ,FJ,FJ
4,2025-09-04_18-07-05,W,0,1,TP,TP,FJ,FJ,FJ,FJ,FJ
5,2025-09-04_18-07-18,V,1,0,TP,TP,FJ,FJ,FJ,FJ,FJ
6,2025-09-04_18-07-32,V,1,0,TP,TP,FJ,FJ,FJ,FJ,FJ
7,2025-09-04_18-07-44,W,0,1,TP,TP,FJ,FJ,FJ,FJ,FJ
8,2025-09-04_18-07-56,V,1,0,TP,TP,FJ,FJ,FJ,FJ,FJ
9,2025-09-04_18-08-06,V,3,0,TP,TP,FJ,FJ,FJ,FJ,FJ
10,2025-09-04_18-08-18,W,0,1,TP,TP,FJ,FJ,FJ,FJ,FJ
11,2025-09-04_18-08-40,V,3,0,TP,TP,FJ,FJ,FJ,FJ,FJ
12,2025-09-04_18-08-55,W,0,1,TP,TP,FJ,FJ,FJ,FJ,FJ
13,2025-09-04_18-09-08,V,1,0,TP,TP,FJ,FJ,FJ,FJ,FJ
14,2025-09-04_18-09-20,V,1,0,TP,TP,FJ,FJ,FJ,FJ,FJ
15,2025-09-04_18-09-34,V,1,0,TP,TP,FJ,FJ,FJ,FJ,FJ
16,2025-09-04_18-09-47,V,1,0,TP,TP,FJ,FJ,FJ,FJ,FJ
17,2025-09-04_18-10-01,V,1,0,TP,TP,FJ,FJ,FJ,FJ,FJ
18,2025-09-04_18-10-15,W,0,2,TP,TP,FJ,FJ,FJ,FJ,FJ
19,2025-09-04_18-10-28,W,0,2,TP,TP,FJ,FJ,FJ,FJ,FJ
20,2025-09-04_18-10-41,V,1,0,TP,TP,FJ,FJ,FJ,FJ,FJ
21,2025-09-04_18-10-58,W,0,2,TP,TP,FJ,FJ,FJ,FJ,FJ
22,2025-09-04_18-11-14,W,0,1,TP,TP,FJ,FJ,FJ,FJ,FJ
23,2025-09-04_18-11-27,V,1,0,TP,TP,FJ,FJ,FJ,FJ,FJ
24,2025-09-04_18-11-39,W,0,1,TP,TP,FJ,FJ,FJ,FJ,FJ
25,2025-09-04_18-11-52,V,1,0,TP,TP,FJ,FJ,FJ,FJ,FJ
26,2025-09-04_18-12-05,W,0,1,TP,TP,FJ,FJ,FJ,FJ,FJ
27,2025-09-04_18-12-16,V,1,0,TP,TP,FJ,FJ,FJ,FJ,FJ
28,2025-09-04_18-12-29,V,1,0,TP,TP,FJ,FJ,FJ,FJ,FJ
29,2025-09-04_18-12-42,V,1,0,TP,TP,FJ,FJ,FJ,FJ,FJ
30,2025-09-04_18-12-54,V,1,0,TP,TP,FJ,FJ,FJ,FJ,FJ
31,2025-09-04_18-13-08,V,1,0,TP,TP,FJ,FJ,FJ,FJ,FJ
32,2025-09-04_18-13-20,W,0,1,TP,TP,FJ,FJ,FJ,FJ,FJ
33,2025-09-04_18-13-31,V,1,0,TP,TP,FJ,FJ,FJ,FJ,FJ
34,2025-09-04_18-13-44,V,1,0,TP,TP,FJ,FJ,FJ,FJ,FJ
35,2025-09-04_18-13-56,V,1,0,TP,TP,FJ,FJ,FJ,FJ,FJ
36,2025-09-04_18-14-08,W,0,1,TP,TP,FJ,FJ,FJ,FJ,FJ
37,2025-09-04_18-14-18,V,1,0,TP,TP,FJ,FJ,FJ,FJ,FJ
38,2025-09-04_18-14-30,W,0,1,TP,TP,FJ,FJ,FJ,FJ,FJ
39,2025-09-04_18-14-42,W,0,1,TP,TP,FJ,FJ,FJ,FJ,FJ
40,2025-09-04_18-14-53,W,0,1,TP,TP,FJ,FJ,FJ,FJ,FJ
