ID,Timestamp,WinningTeam,RemainingVillagers,RemainingWerewolves,wa_type,wb_type,va_type,vb_type,vc_type,vd_type,ve_type
1,2025-09-04_17-32-07,W,0,2,FJ,FJ,FP,FP,FP,FP,FP
2,2025-09-04_17-32-23,V,1,0,FJ,FJ,FP,FP,FP,FP,FP
3,2025-09-04_17-32-33,W,0,2,FJ,FJ,FP,FP,FP,FP,FP
4,2025-09-04_17-32-47,V,1,0,FJ,FJ,FP,FP,FP,FP,FP
5,2025-09-04_17-32-58,V,1,0,FJ,FJ,FP,FP,FP,FP,FP
6,2025-09-04_17-33-10,W,0,1,FJ,FJ,FP,FP,FP,FP,FP
7,2025-09-04_17-33-20,W,0,1,FJ,FJ,FP,FP,FP,FP,FP
8,2025-09-04_17-33-31,W,0,1,FJ,FJ,FP,FP,FP,FP,FP
9,2025-09-04_17-33-44,V,1,0,FJ,FJ,FP,FP,FP,FP,FP
10,2025-09-04_17-33-53,V,3,0,FJ,FJ,FP,FP,FP,FP,FP
11,2025-09-04_17-34-04,V,1,0,FJ,FJ,FP,FP,FP,FP,FP
12,2025-09-04_17-34-16,V,1,0,FJ,FJ,FP,FP,FP,FP,FP
13,2025-09-04_17-34-26,W,0,1,FJ,FJ,FP,FP,FP,FP,FP
14,2025-09-04_17-34-39,W,0,1,FJ,FJ,FP,FP,FP,FP,FP
15,2025-09-04_17-34-49,V,1,0,FJ,FJ,FP,FP,FP,FP,FP
16,2025-09-04_17-34-59,W,0,1,FJ,FJ,FP,FP,FP,FP,FP
17,2025-09-04_17-35-17,W,0,2,FJ,FJ,FP,FP,FP,FP,FP
18,2025-09-04_17-35-28,V,1,0,FJ,FJ,FP,FP,FP,FP,FP
19,2025-09-04_17-35-41,W,0,1,FJ,FJ,FP,FP,FP,FP,FP
20,2025-09-04_17-35-53,W,0,1,FJ,FJ,FP,FP,FP,FP,FP
21,2025-09-04_17-36-06,V,1,0,FJ,FJ,FP,FP,FP,FP,FP
22,2025-09-04_17-36-16,W,0,2,FJ,FJ,FP,FP,FP,FP,FP
23,2025-09-04_17-36-27,W,0,1,FJ,FJ,FP,FP,FP,FP,FP
24,2025-09-04_17-36-38,W,0,1,FJ,FJ,FP,FP,FP,FP,FP
25,2025-09-04_17-36-51,V,1,0,FJ,FJ,FP,FP,FP,FP,FP
26,2025-09-04_17-37-01,V,1,0,FJ,FJ,FP,FP,FP,FP,FP
27,2025-09-04_17-37-13,W,0,1,FJ,FJ,FP,FP,FP,FP,FP
28,2025-09-04_17-37-24,W,0,1,FJ,FJ,FP,FP,FP,FP,FP
29,2025-09-04_17-37-35,W,0,2,FJ,FJ,FP,FP,FP,FP,FP
30,2025-09-04_17-37-47,V,1,0,FJ,FJ,FP,FP,FP,FP,FP
31,2025-09-04_17-37-59,V,1,0,FJ,FJ,FP,FP,FP,FP,FP
32,2025-09-04_17-38-11,V,1,0,FJ,FJ,FP,FP,FP,FP,FP
33,2025-09-04_17-38-22,V,1,0,FJ,FJ,FP,FP,FP,FP,FP
34,2025-09-04_17-38-36,V,1,0,FJ,FJ,FP,FP,FP,FP,FP
35,2025-09-04_17-38-48,V,1,0,FJ,FJ,FP,FP,FP,FP,FP
36,2025-09-04_17-39-00,W,0,1,FJ,FJ,FP,FP,FP,FP,FP
37,2025-09-04_17-39-15,V,1,0,FJ,FJ,FP,FP,FP,FP,FP
38,2025-09-04_17-39-27,V,1,0,FJ,FJ,FP,FP,FP,FP,FP
39,2025-09-04_17-39-37,V,3,0,FJ,FJ,FP,FP,FP,FP,FP
40,2025-09-04_17-39-45,V,3,0,FJ,FJ,FP,FP,FP,FP,FP
