ID,Timestamp,WinningTeam,RemainingVillagers,RemainingWerewolves,wa_type,wb_type,va_type,vb_type,vc_type,vd_type,ve_type
1,2025-09-04_21-01-48,V,3,0,FP,FP,FP,FP,FP,FP,FP
2,2025-09-04_21-02-00,V,1,0,FP,FP,FP,FP,FP,FP,FP
3,2025-09-04_21-02-12,W,0,1,FP,FP,FP,FP,FP,FP,FP
4,2025-09-04_21-02-23,W,0,1,FP,FP,FP,FP,FP,FP,FP
5,2025-09-04_21-02-34,V,1,0,FP,FP,FP,FP,FP,FP,FP
6,2025-09-04_21-02-46,W,0,2,FP,FP,FP,FP,FP,FP,FP
7,2025-09-04_21-03-02,W,0,1,FP,FP,FP,FP,FP,FP,FP
8,2025-09-04_21-03-16,V,1,0,FP,FP,FP,FP,FP,FP,FP
9,2025-09-04_21-03-27,W,0,1,FP,FP,FP,FP,FP,FP,FP
10,2025-09-04_21-03-41,W,0,1,FP,FP,FP,FP,FP,FP,FP
11,2025-09-04_21-03-53,V,1,0,FP,FP,FP,FP,FP,FP,FP
12,2025-09-04_21-04-06,V,1,0,FP,FP,FP,FP,FP,FP,FP
13,2025-09-04_21-04-17,V,1,0,FP,FP,FP,FP,FP,FP,FP
14,2025-09-04_21-04-28,W,0,1,FP,FP,FP,FP,FP,FP,FP
15,2025-09-04_21-04-41,V,1,0,FP,FP,FP,FP,FP,FP,FP
16,2025-09-04_21-04-52,V,1,0,FP,FP,FP,FP,FP,FP,FP
17,2025-09-04_21-05-05,W,0,1,FP,FP,FP,FP,FP,FP,FP
18,2025-09-04_21-05-16,W,0,1,FP,FP,FP,FP,FP,FP,FP
19,2025-09-04_21-05-29,W,0,1,FP,FP,FP,FP,FP,FP,FP
20,2025-09-04_21-05-42,V,1,0,FP,FP,FP,FP,FP,FP,FP
21,2025-09-04_21-05-55,W,0,1,FP,FP,FP,FP,FP,FP,FP
22,2025-09-04_21-06-09,V,1,0,FP,FP,FP,FP,FP,FP,FP
23,2025-09-04_21-06-22,V,1,0,FP,FP,FP,FP,FP,FP,FP
24,2025-09-04_21-06-34,W,0,2,FP,FP,FP,FP,FP,FP,FP
25,2025-09-04_21-06-46,W,0,1,FP,FP,FP,FP,FP,FP,FP
26,2025-09-04_21-06-58,W,0,2,FP,FP,FP,FP,FP,FP,FP
27,2025-09-04_21-07-10,V,1,0,FP,FP,FP,FP,FP,FP,FP
28,2025-09-04_21-07-22,W,0,1,FP,FP,FP,FP,FP,FP,FP
29,2025-09-04_21-07-34,W,0,2,FP,FP,FP,FP,FP,FP,FP
30,2025-09-04_21-07-45,W,0,1,FP,FP,FP,FP,FP,FP,FP
31,2025-09-04_21-07-58,W,0,1,FP,FP,FP,FP,FP,FP,FP
32,2025-09-04_21-08-11,V,1,0,FP,FP,FP,FP,FP,FP,FP
33,2025-09-04_21-08-24,V,1,0,FP,FP,FP,FP,FP,FP,FP
34,2025-09-04_21-08-36,V,1,0,FP,FP,FP,FP,FP,FP,FP
35,2025-09-04_21-08-49,V,1,0,FP,FP,FP,FP,FP,FP,FP
36,2025-09-04_21-09-02,W,0,1,FP,FP,FP,FP,FP,FP,FP
37,2025-09-04_21-09-15,W,0,1,FP,FP,FP,FP,FP,FP,FP
38,2025-09-04_21-09-29,W,0,1,FP,FP,FP,FP,FP,FP,FP
39,2025-09-04_21-09-41,W,0,1,FP,FP,FP,FP,FP,FP,FP
40,2025-09-04_21-09-52,W,0,1,FP,FP,FP,FP,FP,FP,FP
