ID,Timestamp,WinningTeam,RemainingVillagers,RemainingWerewolves,wa_type,wb_type,va_type,vb_type,vc_type,vd_type,ve_type
1,2025-09-04_17-08-19,W,0,1,TJ,TJ,FP,FP,FP,FP,FP
2,2025-09-04_17-08-31,V,1,0,TJ,TJ,FP,FP,FP,FP,FP
3,2025-09-04_17-08-45,V,1,0,TJ,TJ,FP,FP,FP,FP,FP
4,2025-09-04_17-08-53,V,3,0,TJ,TJ,FP,FP,FP,FP,FP
5,2025-09-04_17-09-05,V,1,0,TJ,TJ,FP,FP,FP,FP,FP
6,2025-09-04_17-09-16,W,0,1,TJ,TJ,FP,FP,FP,FP,FP
7,2025-09-04_17-09-28,V,1,0,TJ,TJ,FP,FP,FP,FP,FP
8,2025-09-04_17-09-40,V,1,0,TJ,TJ,FP,FP,FP,FP,FP
9,2025-09-04_17-09-51,V,1,0,TJ,TJ,FP,FP,FP,FP,FP
10,2025-09-04_17-10-04,W,0,1,TJ,TJ,FP,FP,FP,FP,FP
11,2025-09-04_17-10-14,V,3,0,TJ,TJ,FP,FP,FP,FP,FP
12,2025-09-04_17-10-24,V,3,0,TJ,TJ,FP,FP,FP,FP,FP
13,2025-09-04_17-10-36,V,1,0,TJ,TJ,FP,FP,FP,FP,FP
14,2025-09-04_17-10-46,V,3,0,TJ,TJ,FP,FP,FP,FP,FP
15,2025-09-04_17-10-58,V,1,0,TJ,TJ,FP,FP,FP,FP,FP
16,2025-09-04_17-11-10,V,1,0,TJ,TJ,FP,FP,FP,FP,FP
17,2025-09-04_17-11-26,V,1,0,TJ,TJ,FP,FP,FP,FP,FP
18,2025-09-04_17-11-38,V,1,0,TJ,TJ,FP,FP,FP,FP,FP
19,2025-09-04_17-11-50,V,1,0,TJ,TJ,FP,FP,FP,FP,FP
20,2025-09-04_17-12-02,V,1,0,TJ,TJ,FP,FP,FP,FP,FP
21,2025-09-04_17-12-15,V,1,0,TJ,TJ,FP,FP,FP,FP,FP
22,2025-09-04_17-12-27,V,1,0,TJ,TJ,FP,FP,FP,FP,FP
23,2025-09-04_17-12-38,V,1,0,TJ,TJ,FP,FP,FP,FP,FP
24,2025-09-04_17-12-51,V,1,0,TJ,TJ,FP,FP,FP,FP,FP
25,2025-09-04_17-13-04,V,1,0,TJ,TJ,FP,FP,FP,FP,FP
26,2025-09-04_17-13-16,V,1,0,TJ,TJ,FP,FP,FP,FP,FP
27,2025-09-04_17-13-30,V,1,0,TJ,TJ,FP,FP,FP,FP,FP
28,2025-09-04_17-13-44,V,1,0,TJ,TJ,FP,FP,FP,FP,FP
29,2025-09-04_17-13-57,V,1,0,TJ,TJ,FP,FP,FP,FP,FP
30,2025-09-04_17-14-09,V,1,0,TJ,TJ,FP,FP,FP,FP,FP
31,2025-09-04_17-14-21,V,1,0,TJ,TJ,FP,FP,FP,FP,FP
32,2025-09-04_17-14-32,V,1,0,TJ,TJ,FP,FP,FP,FP,FP
33,2025-09-04_17-14-43,V,1,0,TJ,TJ,FP,FP,FP,FP,FP
34,2025-09-04_17-14-58,V,1,0,TJ,TJ,FP,FP,FP,FP,FP
35,2025-09-04_17-15-10,V,1,0,TJ,TJ,FP,FP,FP,FP,FP
36,2025-09-04_17-15-23,V,1,0,TJ,TJ,FP,FP,FP,FP,FP
37,2025-09-04_17-15-36,V,1,0,TJ,TJ,FP,FP,FP,FP,FP
38,2025-09-04_17-15-48,V,1,0,TJ,TJ,FP,FP,FP,FP,FP
39,2025-09-04_17-16-00,V,1,0,TJ,TJ,FP,FP,FP,FP,FP
40,2025-09-04_17-16-12,V,1,0,TJ,TJ,FP,FP,FP,FP,FP
