ID,Timestamp,WinningTeam,RemainingVillagers,RemainingWerewolves,wa_type,wb_type,va_type,vb_type,vc_type,vd_type,ve_type
1,2025-09-04_18-15-06,V,1,0,TP,TP,FP,FP,FP,FP,FP
2,2025-09-04_18-15-19,W,0,1,TP,TP,FP,FP,FP,FP,FP
3,2025-09-04_18-15-32,W,0,1,TP,TP,FP,FP,FP,FP,FP
4,2025-09-04_18-15-44,V,1,0,TP,TP,FP,FP,FP,FP,FP
5,2025-09-04_18-15-54,V,3,0,TP,TP,FP,FP,FP,FP,FP
6,2025-09-04_18-16-08,W,0,1,TP,TP,FP,FP,FP,FP,FP
7,2025-09-04_18-16-20,W,0,2,TP,TP,FP,FP,FP,FP,FP
8,2025-09-04_18-16-33,V,1,0,TP,TP,FP,FP,FP,FP,FP
9,2025-09-04_18-16-46,W,0,1,TP,TP,FP,FP,FP,FP,FP
10,2025-09-04_18-16-57,W,0,1,TP,TP,FP,FP,FP,FP,FP
11,2025-09-04_18-17-07,V,3,0,TP,TP,FP,FP,FP,FP,FP
12,2025-09-04_18-17-19,W,0,1,TP,TP,FP,FP,FP,FP,FP
13,2025-09-04_18-17-30,W,0,2,TP,TP,FP,FP,FP,FP,FP
14,2025-09-04_18-17-41,V,3,0,TP,TP,FP,FP,FP,FP,FP
15,2025-09-04_18-17-54,W,0,1,TP,TP,FP,FP,FP,FP,FP
16,2025-09-04_18-18-07,V,1,0,TP,TP,FP,FP,FP,FP,FP
17,2025-09-04_18-18-20,V,1,0,TP,TP,FP,FP,FP,FP,FP
18,2025-09-04_18-18-34,V,1,0,TP,TP,FP,FP,FP,FP,FP
19,2025-09-04_18-18-47,W,0,1,TP,TP,FP,FP,FP,FP,FP
20,2025-09-04_18-18-59,V,1,0,TP,TP,FP,FP,FP,FP,FP
21,2025-09-04_18-19-12,V,1,0,TP,TP,FP,FP,FP,FP,FP
22,2025-09-04_18-19-23,V,1,0,TP,TP,FP,FP,FP,FP,FP
23,2025-09-04_18-19-34,V,1,0,TP,TP,FP,FP,FP,FP,FP
24,2025-09-04_18-19-45,V,1,0,TP,TP,FP,FP,FP,FP,FP
25,2025-09-04_18-19-57,W,0,1,TP,TP,FP,FP,FP,FP,FP
26,2025-09-04_18-20-09,W,0,1,TP,TP,FP,FP,FP,FP,FP
27,2025-09-04_18-20-19,V,3,0,TP,TP,FP,FP,FP,FP,FP
28,2025-09-04_18-20-31,W,0,1,TP,TP,FP,FP,FP,FP,FP
29,2025-09-04_18-20-43,V,1,0,TP,TP,FP,FP,FP,FP,FP
30,2025-09-04_18-20-57,W,0,1,TP,TP,FP,FP,FP,FP,FP
31,2025-09-04_18-21-09,W,0,1,TP,TP,FP,FP,FP,FP,FP
32,2025-09-04_18-21-21,V,1,0,TP,TP,FP,FP,FP,FP,FP
33,2025-09-04_18-21-33,V,1,0,TP,TP,FP,FP,FP,FP,FP
34,2025-09-04_18-21-43,W,0,2,TP,TP,FP,FP,FP,FP,FP
35,2025-09-04_18-21-56,W,0,1,TP,TP,FP,FP,FP,FP,FP
36,2025-09-04_18-22-08,W,0,1,TP,TP,FP,FP,FP,FP,FP
37,2025-09-04_18-22-19,V,1,0,TP,TP,FP,FP,FP,FP,FP
38,2025-09-04_18-22-32,W,0,1,TP,TP,FP,FP,FP,FP,FP
39,2025-09-04_18-22-42,V,1,0,TP,TP,FP,FP,FP,FP,FP
40,2025-09-04_18-22-52,V,1,0,TP,TP,FP,FP,FP,FP,FP
