ID,Timestamp,WinningTeam,RemainingVillagers,RemainingWerewolves,wa_type,wb_type,va_type,vb_type,vc_type,vd_type,ve_type
1,2025-09-04_17-16-23,W,0,2,FJ,FJ,TJ,TJ,TJ,TJ,TJ
2,2025-09-04_17-16-34,V,1,0,FJ,FJ,TJ,TJ,TJ,TJ,TJ
3,2025-09-04_17-16-46,V,1,0,FJ,FJ,TJ,TJ,TJ,TJ,TJ
4,2025-09-04_17-16-56,V,1,0,FJ,FJ,TJ,TJ,TJ,TJ,TJ
5,2025-09-04_17-17-05,V,3,0,FJ,FJ,TJ,TJ,TJ,TJ,TJ
6,2025-09-04_17-17-16,W,0,1,FJ,FJ,TJ,TJ,TJ,TJ,TJ
7,2025-09-04_17-17-25,V,3,0,FJ,FJ,TJ,TJ,TJ,TJ,TJ
8,2025-09-04_17-17-36,V,1,0,FJ,FJ,TJ,TJ,TJ,TJ,TJ
9,2025-09-04_17-17-48,V,1,0,FJ,FJ,TJ,TJ,TJ,TJ,TJ
10,2025-09-04_17-17-58,V,1,0,FJ,FJ,TJ,TJ,TJ,TJ,TJ
11,2025-09-04_17-18-12,W,0,1,FJ,FJ,TJ,TJ,TJ,TJ,TJ
12,2025-09-04_17-18-23,W,0,1,FJ,FJ,TJ,TJ,TJ,TJ,TJ
13,2025-09-04_17-18-34,V,1,0,FJ,FJ,TJ,TJ,TJ,TJ,TJ
14,2025-09-04_17-18-44,V,1,0,FJ,FJ,TJ,TJ,TJ,TJ,TJ
15,2025-09-04_17-18-55,W,0,1,FJ,FJ,TJ,TJ,TJ,TJ,TJ
16,2025-09-04_17-19-06,V,1,0,FJ,FJ,TJ,TJ,TJ,TJ,TJ
17,2025-09-04_17-19-16,W,0,1,FJ,FJ,TJ,TJ,TJ,TJ,TJ
18,2025-09-04_17-19-27,V,1,0,FJ,FJ,TJ,TJ,TJ,TJ,TJ
19,2025-09-04_17-19-40,V,1,0,FJ,FJ,TJ,TJ,TJ,TJ,TJ
20,2025-09-04_17-19-52,V,1,0,FJ,FJ,TJ,TJ,TJ,TJ,TJ
21,2025-09-04_17-20-05,V,1,0,FJ,FJ,TJ,TJ,TJ,TJ,TJ
22,2025-09-04_17-20-17,V,1,0,FJ,FJ,TJ,TJ,TJ,TJ,TJ
23,2025-09-04_17-20-28,W,0,1,FJ,FJ,TJ,TJ,TJ,TJ,TJ
24,2025-09-04_17-20-39,W,0,1,FJ,FJ,TJ,TJ,TJ,TJ,TJ
25,2025-09-04_17-20-50,W,0,2,FJ,FJ,TJ,TJ,TJ,TJ,TJ
26,2025-09-04_17-21-03,V,1,0,FJ,FJ,TJ,TJ,TJ,TJ,TJ
27,2025-09-04_17-21-16,W,0,1,FJ,FJ,TJ,TJ,TJ,TJ,TJ
28,2025-09-04_17-21-31,V,1,0,FJ,FJ,TJ,TJ,TJ,TJ,TJ
29,2025-09-04_17-21-45,V,1,0,FJ,FJ,TJ,TJ,TJ,TJ,TJ
30,2025-09-04_17-22-00,V,1,0,FJ,FJ,TJ,TJ,TJ,TJ,TJ
31,2025-09-04_17-22-15,V,1,0,FJ,FJ,TJ,TJ,TJ,TJ,TJ
32,2025-09-04_17-22-29,W,0,1,FJ,FJ,TJ,TJ,TJ,TJ,TJ
33,2025-09-04_17-22-41,V,1,0,FJ,FJ,TJ,TJ,TJ,TJ,TJ
34,2025-09-04_17-22-52,W,0,1,FJ,FJ,TJ,TJ,TJ,TJ,TJ
35,2025-09-04_17-23-06,V,1,0,FJ,FJ,TJ,TJ,TJ,TJ,TJ
36,2025-09-04_17-23-18,W,0,1,FJ,FJ,TJ,TJ,TJ,TJ,TJ
37,2025-09-04_17-23-30,V,1,0,FJ,FJ,TJ,TJ,TJ,TJ,TJ
38,2025-09-04_17-23-42,W,0,1,FJ,FJ,TJ,TJ,TJ,TJ,TJ
39,2025-09-04_17-23-56,V,1,0,FJ,FJ,TJ,TJ,TJ,TJ,TJ
40,2025-09-04_17-24-08,W,0,1,FJ,FJ,TJ,TJ,TJ,TJ,TJ
