ID,Timestamp,WinningTeam,RemainingVillagers,RemainingWerewolves,wa_type,wb_type,va_type,vb_type,vc_type,vd_type,ve_type
1,2025-09-04_17-48-57,W,0,1,FP,FP,TJ,TJ,TJ,TJ,TJ
2,2025-09-04_17-49-12,V,1,0,FP,FP,TJ,TJ,TJ,TJ,TJ
3,2025-09-04_17-49-28,W,0,1,FP,FP,TJ,TJ,TJ,TJ,TJ
4,2025-09-04_17-49-47,W,0,1,FP,FP,TJ,TJ,TJ,TJ,TJ
5,2025-09-04_17-50-02,V,1,0,FP,FP,TJ,TJ,TJ,TJ,TJ
6,2025-09-04_17-50-15,W,0,2,FP,FP,TJ,TJ,TJ,TJ,TJ
7,2025-09-04_17-50-28,W,0,1,FP,FP,TJ,TJ,TJ,TJ,TJ
8,2025-09-04_17-50-47,W,0,1,FP,FP,TJ,TJ,TJ,TJ,TJ
9,2025-09-04_17-51-01,V,1,0,FP,FP,TJ,TJ,TJ,TJ,TJ
10,2025-09-04_17-51-18,V,1,0,FP,FP,TJ,TJ,TJ,TJ,TJ
11,2025-09-04_17-51-31,W,0,2,FP,FP,TJ,TJ,TJ,TJ,TJ
12,2025-09-04_17-51-42,W,0,2,FP,FP,TJ,TJ,TJ,TJ,TJ
13,2025-09-04_17-51-53,W,0,1,FP,FP,TJ,TJ,TJ,TJ,TJ
14,2025-09-04_17-52-06,W,0,1,FP,FP,TJ,TJ,TJ,TJ,TJ
15,2025-09-04_17-52-18,W,0,1,FP,FP,TJ,TJ,TJ,TJ,TJ
16,2025-09-04_17-52-30,V,1,0,FP,FP,TJ,TJ,TJ,TJ,TJ
17,2025-09-04_17-52-42,W,0,2,FP,FP,TJ,TJ,TJ,TJ,TJ
18,2025-09-04_17-52-57,W,0,1,FP,FP,TJ,TJ,TJ,TJ,TJ
19,2025-09-04_17-53-08,W,0,1,FP,FP,TJ,TJ,TJ,TJ,TJ
20,2025-09-04_17-53-21,V,1,0,FP,FP,TJ,TJ,TJ,TJ,TJ
21,2025-09-04_17-53-35,W,0,1,FP,FP,TJ,TJ,TJ,TJ,TJ
22,2025-09-04_17-53-48,V,1,0,FP,FP,TJ,TJ,TJ,TJ,TJ
23,2025-09-04_17-54-01,W,0,2,FP,FP,TJ,TJ,TJ,TJ,TJ
24,2025-09-04_17-54-12,W,0,1,FP,FP,TJ,TJ,TJ,TJ,TJ
25,2025-09-04_17-54-24,W,0,1,FP,FP,TJ,TJ,TJ,TJ,TJ
26,2025-09-04_17-54-35,W,0,1,FP,FP,TJ,TJ,TJ,TJ,TJ
27,2025-09-04_17-54-48,V,1,0,FP,FP,TJ,TJ,TJ,TJ,TJ
28,2025-09-04_17-55-04,W,0,1,FP,FP,TJ,TJ,TJ,TJ,TJ
29,2025-09-04_17-55-19,V,1,0,FP,FP,TJ,TJ,TJ,TJ,TJ
30,2025-09-04_17-55-32,V,1,0,FP,FP,TJ,TJ,TJ,TJ,TJ
31,2025-09-04_17-55-45,W,0,1,FP,FP,TJ,TJ,TJ,TJ,TJ
32,2025-09-04_17-55-58,V,1,0,FP,FP,TJ,TJ,TJ,TJ,TJ
33,2025-09-04_17-56-13,V,1,0,FP,FP,TJ,TJ,TJ,TJ,TJ
34,2025-09-04_17-56-27,W,0,1,FP,FP,TJ,TJ,TJ,TJ,TJ
35,2025-09-04_17-56-38,W,0,1,FP,FP,TJ,TJ,TJ,TJ,TJ
36,2025-09-04_17-56-50,W,0,1,FP,FP,TJ,TJ,TJ,TJ,TJ
37,2025-09-04_17-57-03,V,1,0,FP,FP,TJ,TJ,TJ,TJ,TJ
38,2025-09-04_17-57-16,W,0,1,FP,FP,TJ,TJ,TJ,TJ,TJ
39,2025-09-04_17-57-28,W,0,1,FP,FP,TJ,TJ,TJ,TJ,TJ
40,2025-09-04_17-57-42,V,1,0,FP,FP,TJ,TJ,TJ,TJ,TJ
