ID,Timestamp,WinningTeam,RemainingVillagers,RemainingWerewolves,wa_type,wb_type,va_type,vb_type,vc_type,vd_type,ve_type
1,2025-09-04_20-38-09,W,0,1,TJ,TJ,TJ,TJ,TJ,TJ,TJ
2,2025-09-04_20-38-20,V,1,0,TJ,TJ,TJ,TJ,TJ,TJ,TJ
3,2025-09-04_20-38-32,V,1,0,TJ,TJ,TJ,TJ,TJ,TJ,TJ
4,2025-09-04_20-38-43,W,0,1,TJ,TJ,TJ,TJ,TJ,TJ,TJ
5,2025-09-04_20-38-56,W,0,1,TJ,TJ,TJ,TJ,TJ,TJ,TJ
6,2025-09-04_20-39-07,V,1,0,TJ,TJ,TJ,TJ,TJ,TJ,TJ
7,2025-09-04_20-39-20,V,3,0,TJ,TJ,TJ,TJ,TJ,TJ,TJ
8,2025-09-04_20-39-32,W,0,1,TJ,TJ,TJ,TJ,TJ,TJ,TJ
9,2025-09-04_20-39-44,V,1,0,TJ,TJ,TJ,TJ,TJ,TJ,TJ
10,2025-09-04_20-39-54,W,0,1,TJ,TJ,TJ,TJ,TJ,TJ,TJ
11,2025-09-04_20-40-08,V,1,0,TJ,TJ,TJ,TJ,TJ,TJ,TJ
12,2025-09-04_20-40-30,W,0,1,TJ,TJ,TJ,TJ,TJ,TJ,TJ
13,2025-09-04_20-40-43,V,1,0,TJ,TJ,TJ,TJ,TJ,TJ,TJ
14,2025-09-04_20-40-54,V,1,0,TJ,TJ,TJ,TJ,TJ,TJ,TJ
15,2025-09-04_20-41-10,V,1,0,TJ,TJ,TJ,TJ,TJ,TJ,TJ
16,2025-09-04_20-41-21,V,1,0,TJ,TJ,TJ,TJ,TJ,TJ,TJ
17,2025-09-04_20-41-35,V,1,0,TJ,TJ,TJ,TJ,TJ,TJ,TJ
18,2025-09-04_20-41-46,V,1,0,TJ,TJ,TJ,TJ,TJ,TJ,TJ
19,2025-09-04_20-41-57,W,0,1,TJ,TJ,TJ,TJ,TJ,TJ,TJ
20,2025-09-04_20-42-08,V,3,0,TJ,TJ,TJ,TJ,TJ,TJ,TJ
21,2025-09-04_20-42-20,W,0,1,TJ,TJ,TJ,TJ,TJ,TJ,TJ
22,2025-09-04_20-42-31,V,1,0,TJ,TJ,TJ,TJ,TJ,TJ,TJ
23,2025-09-04_20-42-40,V,3,0,TJ,TJ,TJ,TJ,TJ,TJ,TJ
24,2025-09-04_20-42-51,V,1,0,TJ,TJ,TJ,TJ,TJ,TJ,TJ
25,2025-09-04_20-43-03,W,0,1,TJ,TJ,TJ,TJ,TJ,TJ,TJ
26,2025-09-04_20-43-16,W,0,1,TJ,TJ,TJ,TJ,TJ,TJ,TJ
27,2025-09-04_20-43-29,V,1,0,TJ,TJ,TJ,TJ,TJ,TJ,TJ
28,2025-09-04_20-43-40,V,1,0,TJ,TJ,TJ,TJ,TJ,TJ,TJ
29,2025-09-04_20-43-53,V,1,0,TJ,TJ,TJ,TJ,TJ,TJ,TJ
30,2025-09-04_20-44-09,W,0,1,TJ,TJ,TJ,TJ,TJ,TJ,TJ
31,2025-09-04_20-44-21,V,1,0,TJ,TJ,TJ,TJ,TJ,TJ,TJ
32,2025-09-04_20-44-31,V,3,0,TJ,TJ,TJ,TJ,TJ,TJ,TJ
33,2025-09-04_20-44-42,V,1,0,TJ,TJ,TJ,TJ,TJ,TJ,TJ
34,2025-09-04_20-44-55,V,1,0,TJ,TJ,TJ,TJ,TJ,TJ,TJ
35,2025-09-04_20-45-06,V,1,0,TJ,TJ,TJ,TJ,TJ,TJ,TJ
36,2025-09-04_20-45-17,V,1,0,TJ,TJ,TJ,TJ,TJ,TJ,TJ
37,2025-09-04_20-45-30,V,1,0,TJ,TJ,TJ,TJ,TJ,TJ,TJ
38,2025-09-04_20-45-48,W,0,1,TJ,TJ,TJ,TJ,TJ,TJ,TJ
39,2025-09-04_20-46-00,W,0,1,TJ,TJ,TJ,TJ,TJ,TJ,TJ
40,2025-09-04_20-46-13,W,0,1,TJ,TJ,TJ,TJ,TJ,TJ,TJ
