ID,Timestamp,WinningTeam,RemainingVillagers,RemainingWerewolves,wa_type,wb_type,va_type,vb_type,vc_type,vd_type,ve_type
1,2025-09-04_14-54-33,W,0,1,TP,TP,TJ,TJ,TJ,TJ,TJ
2,2025-09-04_14-54-45,W,0,1,TP,TP,TJ,TJ,TJ,TJ,TJ
3,2025-09-04_14-54-56,W,0,1,TP,TP,TJ,TJ,TJ,TJ,TJ
4,2025-09-04_14-55-09,V,1,0,TP,TP,TJ,TJ,TJ,TJ,TJ
5,2025-09-04_14-55-23,W,0,1,TP,TP,TJ,TJ,TJ,TJ,TJ
6,2025-09-04_14-55-37,W,0,1,TP,TP,TJ,TJ,TJ,TJ,TJ
7,2025-09-04_14-55-52,W,0,1,TP,TP,TJ,TJ,TJ,TJ,TJ
8,2025-09-04_14-56-06,W,0,1,TP,TP,TJ,TJ,TJ,TJ,TJ
9,2025-09-04_14-56-20,W,0,1,TP,TP,TJ,TJ,TJ,TJ,TJ
10,2025-09-04_14-56-36,W,0,1,TP,TP,TJ,TJ,TJ,TJ,TJ
11,2025-09-04_14-56-50,V,1,0,TP,TP,TJ,TJ,TJ,TJ,TJ
12,2025-09-04_14-57-04,W,0,1,TP,TP,TJ,TJ,TJ,TJ,TJ
13,2025-09-04_14-57-17,V,1,0,TP,TP,TJ,TJ,TJ,TJ,TJ
14,2025-09-04_14-57-34,V,1,0,TP,TP,TJ,TJ,TJ,TJ,TJ
15,2025-09-04_14-57-47,W,0,1,TP,TP,TJ,TJ,TJ,TJ,TJ
16,2025-09-04_14-58-01,V,1,0,TP,TP,TJ,TJ,TJ,TJ,TJ
17,2025-09-04_14-58-18,W,0,1,TP,TP,TJ,TJ,TJ,TJ,TJ
18,2025-09-04_14-58-35,W,0,1,TP,TP,TJ,TJ,TJ,TJ,TJ
19,2025-09-04_14-58-55,W,0,1,TP,TP,TJ,TJ,TJ,TJ,TJ
20,2025-09-04_14-59-09,V,1,0,TP,TP,TJ,TJ,TJ,TJ,TJ
21,2025-09-04_14-59-26,V,1,0,TP,TP,TJ,TJ,TJ,TJ,TJ
22,2025-09-04_14-59-37,V,1,0,TP,TP,TJ,TJ,TJ,TJ,TJ
23,2025-09-04_14-59-50,V,1,0,TP,TP,TJ,TJ,TJ,TJ,TJ
24,2025-09-04_15-00-26,W,0,1,TP,TP,TJ,TJ,TJ,TJ,TJ
25,2025-09-04_15-00-42,V,1,0,TP,TP,TJ,TJ,TJ,TJ,TJ
26,2025-09-04_15-00-54,W,0,1,TP,TP,TJ,TJ,TJ,TJ,TJ
27,2025-09-04_15-01-11,V,1,0,TP,TP,TJ,TJ,TJ,TJ,TJ
28,2025-09-04_15-01-23,V,3,0,TP,TP,TJ,TJ,TJ,TJ,TJ
29,2025-09-04_15-01-38,V,1,0,TP,TP,TJ,TJ,TJ,TJ,TJ
30,2025-09-04_15-01-50,W,0,1,TP,TP,TJ,TJ,TJ,TJ,TJ
31,2025-09-04_15-02-03,V,1,0,TP,TP,TJ,TJ,TJ,TJ,TJ
32,2025-09-04_15-02-15,W,0,1,TP,TP,TJ,TJ,TJ,TJ,TJ
33,2025-09-04_15-02-28,V,1,0,TP,TP,TJ,TJ,TJ,TJ,TJ
34,2025-09-04_15-02-41,V,1,0,TP,TP,TJ,TJ,TJ,TJ,TJ
35,2025-09-04_15-02-54,V,1,0,TP,TP,TJ,TJ,TJ,TJ,TJ
36,2025-09-04_15-03-06,V,1,0,TP,TP,TJ,TJ,TJ,TJ,TJ
37,2025-09-04_15-03-21,V,1,0,TP,TP,TJ,TJ,TJ,TJ,TJ
38,2025-09-04_15-03-35,W,0,1,TP,TP,TJ,TJ,TJ,TJ,TJ
39,2025-09-04_15-03-48,W,0,1,TP,TP,TJ,TJ,TJ,TJ,TJ
40,2025-09-04_15-04-02,V,1,0,TP,TP,TJ,TJ,TJ,TJ,TJ
