ID,Timestamp,WinningTeam,RemainingVillagers,RemainingWerewolves,wa_type,wb_type,va_type,vb_type,vc_type,vd_type,ve_type
1,2025-09-04_17-24-22,V,1,0,FJ,FJ,TP,TP,TP,TP,TP
2,2025-09-04_17-24-35,V,1,0,FJ,FJ,TP,TP,TP,TP,TP
3,2025-09-04_17-24-53,V,1,0,FJ,FJ,TP,TP,TP,TP,TP
4,2025-09-04_17-25-12,V,1,0,FJ,FJ,TP,TP,TP,TP,TP
5,2025-09-04_17-25-35,V,1,0,FJ,FJ,TP,TP,TP,TP,TP
6,2025-09-04_17-25-50,V,1,0,FJ,FJ,TP,TP,TP,TP,TP
7,2025-09-04_17-26-04,V,1,0,FJ,FJ,TP,TP,TP,TP,TP
8,2025-09-04_17-26-19,V,1,0,FJ,FJ,TP,TP,TP,TP,TP
9,2025-09-04_17-26-30,V,1,0,FJ,FJ,TP,TP,TP,TP,TP
10,2025-09-04_17-26-42,V,1,0,FJ,FJ,TP,TP,TP,TP,TP
11,2025-09-04_17-26-54,V,1,0,FJ,FJ,TP,TP,TP,TP,TP
12,2025-09-04_17-27-03,V,3,0,FJ,FJ,TP,TP,TP,TP,TP
13,2025-09-04_17-27-15,V,1,0,FJ,FJ,TP,TP,TP,TP,TP
14,2025-09-04_17-27-26,V,1,0,FJ,FJ,TP,TP,TP,TP,TP
15,2025-09-04_17-27-38,V,1,0,FJ,FJ,TP,TP,TP,TP,TP
16,2025-09-04_17-27-49,V,1,0,FJ,FJ,TP,TP,TP,TP,TP
17,2025-09-04_17-28-00,W,0,1,FJ,FJ,TP,TP,TP,TP,TP
18,2025-09-04_17-28-12,V,1,0,FJ,FJ,TP,TP,TP,TP,TP
19,2025-09-04_17-28-23,V,1,0,FJ,FJ,TP,TP,TP,TP,TP
20,2025-09-04_17-28-34,W,0,1,FJ,FJ,TP,TP,TP,TP,TP
21,2025-09-04_17-28-43,V,3,0,FJ,FJ,TP,TP,TP,TP,TP
22,2025-09-04_17-28-52,V,3,0,FJ,FJ,TP,TP,TP,TP,TP
23,2025-09-04_17-29-05,V,1,0,FJ,FJ,TP,TP,TP,TP,TP
24,2025-09-04_17-29-15,V,1,0,FJ,FJ,TP,TP,TP,TP,TP
25,2025-09-04_17-29-25,V,1,0,FJ,FJ,TP,TP,TP,TP,TP
26,2025-09-04_17-29-35,V,3,0,FJ,FJ,TP,TP,TP,TP,TP
27,2025-09-04_17-29-45,W,0,1,FJ,FJ,TP,TP,TP,TP,TP
28,2025-09-04_17-29-57,V,1,0,FJ,FJ,TP,TP,TP,TP,TP
29,2025-09-04_17-30-07,W,0,1,FJ,FJ,TP,TP,TP,TP,TP
30,2025-09-04_17-30-17,V,1,0,FJ,FJ,TP,TP,TP,TP,TP
31,2025-09-04_17-30-28,V,3,0,FJ,FJ,TP,TP,TP,TP,TP
32,2025-09-04_17-30-38,V,1,0,FJ,FJ,TP,TP,TP,TP,TP
33,2025-09-04_17-30-46,V,3,0,FJ,FJ,TP,TP,TP,TP,TP
34,2025-09-04_17-30-54,V,3,0,FJ,FJ,TP,TP,TP,TP,TP
35,2025-09-04_17-31-04,W,0,1,FJ,FJ,TP,TP,TP,TP,TP
36,2025-09-04_17-31-15,W,0,1,FJ,FJ,TP,TP,TP,TP,TP
37,2025-09-04_17-31-26,V,1,0,FJ,FJ,TP,TP,TP,TP,TP
38,2025-09-04_17-31-37,W,0,1,FJ,FJ,TP,TP,TP,TP,TP
39,2025-09-04_17-31-45,V,3,0,FJ,FJ,TP,TP,TP,TP,TP
40,2025-09-04_17-31-56,W,0,1,FJ,FJ,TP,TP,TP,TP,TP
