ID,Timestamp,WinningTeam,RemainingVillagers,RemainingWerewolves,wa_type,wb_type,va_type,vb_type,vc_type,vd_type,ve_type
1,2025-09-04_17-57-55,V,1,0,FP,FP,TP,TP,TP,TP,TP
2,2025-09-04_17-58-08,W,0,1,FP,FP,TP,TP,TP,TP,TP
3,2025-09-04_17-58-19,W,0,1,FP,FP,TP,TP,TP,TP,TP
4,2025-09-04_17-58-31,W,0,1,FP,FP,TP,TP,TP,TP,TP
5,2025-09-04_17-58-43,W,0,1,FP,FP,TP,TP,TP,TP,TP
6,2025-09-04_17-58-54,V,1,0,FP,FP,TP,TP,TP,TP,TP
7,2025-09-04_17-59-04,V,1,0,FP,FP,TP,TP,TP,TP,TP
8,2025-09-04_17-59-15,V,1,0,FP,FP,TP,TP,TP,TP,TP
9,2025-09-04_17-59-24,V,3,0,FP,FP,TP,TP,TP,TP,TP
10,2025-09-04_17-59-32,V,3,0,FP,FP,TP,TP,TP,TP,TP
11,2025-09-04_17-59-42,V,1,0,FP,FP,TP,TP,TP,TP,TP
12,2025-09-04_17-59-53,V,1,0,FP,FP,TP,TP,TP,TP,TP
13,2025-09-04_18-00-05,W,0,1,FP,FP,TP,TP,TP,TP,TP
14,2025-09-04_18-00-19,V,1,0,FP,FP,TP,TP,TP,TP,TP
15,2025-09-04_18-00-30,V,1,0,FP,FP,TP,TP,TP,TP,TP
16,2025-09-04_18-00-44,W,0,1,FP,FP,TP,TP,TP,TP,TP
17,2025-09-04_18-00-57,V,1,0,FP,FP,TP,TP,TP,TP,TP
18,2025-09-04_18-01-11,W,0,1,FP,FP,TP,TP,TP,TP,TP
19,2025-09-04_18-01-25,V,1,0,FP,FP,TP,TP,TP,TP,TP
20,2025-09-04_18-01-36,V,1,0,FP,FP,TP,TP,TP,TP,TP
21,2025-09-04_18-01-50,W,0,1,FP,FP,TP,TP,TP,TP,TP
22,2025-09-04_18-02-02,W,0,1,FP,FP,TP,TP,TP,TP,TP
23,2025-09-04_18-02-14,V,1,0,FP,FP,TP,TP,TP,TP,TP
24,2025-09-04_18-02-28,W,0,1,FP,FP,TP,TP,TP,TP,TP
25,2025-09-04_18-02-44,V,1,0,FP,FP,TP,TP,TP,TP,TP
26,2025-09-04_18-02-56,W,0,2,FP,FP,TP,TP,TP,TP,TP
27,2025-09-04_18-03-06,V,3,0,FP,FP,TP,TP,TP,TP,TP
28,2025-09-04_18-03-20,W,0,2,FP,FP,TP,TP,TP,TP,TP
29,2025-09-04_18-03-35,V,1,0,FP,FP,TP,TP,TP,TP,TP
30,2025-09-04_18-03-47,V,1,0,FP,FP,TP,TP,TP,TP,TP
31,2025-09-04_18-04-01,W,0,2,FP,FP,TP,TP,TP,TP,TP
32,2025-09-04_18-04-12,W,0,1,FP,FP,TP,TP,TP,TP,TP
33,2025-09-04_18-04-25,V,1,0,FP,FP,TP,TP,TP,TP,TP
34,2025-09-04_18-04-38,V,1,0,FP,FP,TP,TP,TP,TP,TP
35,2025-09-04_18-04-53,V,1,0,FP,FP,TP,TP,TP,TP,TP
36,2025-09-04_18-05-07,W,0,1,FP,FP,TP,TP,TP,TP,TP
37,2025-09-04_18-05-22,V,1,0,FP,FP,TP,TP,TP,TP,TP
38,2025-09-04_18-05-34,V,1,0,FP,FP,TP,TP,TP,TP,TP
39,2025-09-04_18-05-52,W,0,1,FP,FP,TP,TP,TP,TP,TP
40,2025-09-04_18-06-04,V,3,0,FP,FP,TP,TP,TP,TP,TP
