ID,Timestamp,WinningTeam,RemainingVillagers,RemainingWerewolves,wa_type,wb_type,va_type,vb_type,vc_type,vd_type,ve_type
1,2025-09-04_20-46-23,V,1,0,TP,TP,TP,TP,TP,TP,TP
2,2025-09-04_20-46-32,V,3,0,TP,TP,TP,TP,TP,TP,TP
3,2025-09-04_20-46-44,W,0,2,TP,TP,TP,TP,TP,TP,TP
4,2025-09-04_20-46-55,V,1,0,TP,TP,TP,TP,TP,TP,TP
5,2025-09-04_20-47-06,W,0,1,TP,TP,TP,TP,TP,TP,TP
6,2025-09-04_20-47-17,V,1,0,TP,TP,TP,TP,TP,TP,TP
7,2025-09-04_20-47-30,V,1,0,TP,TP,TP,TP,TP,TP,TP
8,2025-09-04_20-47-45,V,1,0,TP,TP,TP,TP,TP,TP,TP
9,2025-09-04_20-47-58,V,1,0,TP,TP,TP,TP,TP,TP,TP
10,2025-09-04_20-48-08,V,1,0,TP,TP,TP,TP,TP,TP,TP
11,2025-09-04_20-48-23,V,1,0,TP,TP,TP,TP,TP,TP,TP
12,2025-09-04_20-48-34,W,0,1,TP,TP,TP,TP,TP,TP,TP
13,2025-09-04_20-48-47,V,1,0,TP,TP,TP,TP,TP,TP,TP
14,2025-09-04_20-49-00,V,1,0,TP,TP,TP,TP,TP,TP,TP
15,2025-09-04_20-49-11,V,1,0,TP,TP,TP,TP,TP,TP,TP
16,2025-09-04_20-49-20,V,3,0,TP,TP,TP,TP,TP,TP,TP
17,2025-09-04_20-49-28,V,3,0,TP,TP,TP,TP,TP,TP,TP
18,2025-09-04_20-49-39,V,1,0,TP,TP,TP,TP,TP,TP,TP
19,2025-09-04_20-49-50,V,1,0,TP,TP,TP,TP,TP,TP,TP
20,2025-09-04_20-50-00,W,0,1,TP,TP,TP,TP,TP,TP,TP
21,2025-09-04_20-50-09,V,3,0,TP,TP,TP,TP,TP,TP,TP
22,2025-09-04_20-50-21,V,1,0,TP,TP,TP,TP,TP,TP,TP
23,2025-09-04_20-50-32,V,1,0,TP,TP,TP,TP,TP,TP,TP
24,2025-09-04_20-50-43,V,1,0,TP,TP,TP,TP,TP,TP,TP
25,2025-09-04_20-50-57,V,1,0,TP,TP,TP,TP,TP,TP,TP
26,2025-09-04_20-51-05,V,3,0,TP,TP,TP,TP,TP,TP,TP
27,2025-09-04_20-51-16,W,0,1,TP,TP,TP,TP,TP,TP,TP
28,2025-09-04_20-51-25,V,3,0,TP,TP,TP,TP,TP,TP,TP
29,2025-09-04_20-51-35,W,0,2,TP,TP,TP,TP,TP,TP,TP
30,2025-09-04_20-51-43,V,3,0,TP,TP,TP,TP,TP,TP,TP
31,2025-09-04_20-51-54,V,1,0,TP,TP,TP,TP,TP,TP,TP
32,2025-09-04_20-52-05,W,0,1,TP,TP,TP,TP,TP,TP,TP
33,2025-09-04_20-52-15,W,0,1,TP,TP,TP,TP,TP,TP,TP
34,2025-09-04_20-52-26,V,1,0,TP,TP,TP,TP,TP,TP,TP
35,2025-09-04_20-52-36,W,0,1,TP,TP,TP,TP,TP,TP,TP
36,2025-09-04_20-52-47,V,1,0,TP,TP,TP,TP,TP,TP,TP
37,2025-09-04_20-53-01,V,1,0,TP,TP,TP,TP,TP,TP,TP
38,2025-09-04_20-53-11,V,1,0,TP,TP,TP,TP,TP,TP,TP
39,2025-09-04_20-53-22,V,1,0,TP,TP,TP,TP,TP,TP,TP
40,2025-09-04_20-53-32,W,0,1,TP,TP,TP,TP,TP,TP,TP
