ID,Timestamp,WinningTeam,RemainingVillagers,RemainingWerewolves,wa_type,wb_type,va_type,vb_type,vc_type,vd_type,ve_type
1,2025-05-20_12-42-55,1,0,1,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
2,2025-05-20_12-44-34,1,0,1,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
3,2025-05-20_12-46-15,1,0,1,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
4,2025-05-20_12-48-18,1,0,1,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
5,2025-05-20_12-50-43,1,0,1,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
6,2025-05-20_12-52-28,1,0,1,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
7,2025-05-20_14-36-31,1,0,1,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
8,2025-05-20_14-38-15,0,3,0,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
9,2025-05-20_14-45-46,1,0,1,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
10,2025-05-20_14-47-01,0,3,0,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
11,2025-05-20_14-49-44,0,1,0,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
12,2025-05-20_14-53-21,0,1,0,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
13,2025-05-20_14-55-42,1,0,1,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
14,2025-05-20_14-56-44,0,3,0,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
15,2025-05-20_14-58-31,0,1,0,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
16,2025-05-20_15-00-27,1,0,1,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
17,2025-05-20_15-02-34,1,0,1,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
18,2025-05-20_15-04-59,1,0,1,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
19,2025-05-20_15-06-49,1,0,1,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
20,2025-05-20_15-08-26,1,0,1,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
