ID,Timestamp,WinningTeam,RemainingVillagers,RemainingWerewolves,wa_type,wb_type,va_type,vb_type,vc_type,vd_type,ve_type
1,2025-05-22_10-26-48,1,0,1,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
2,2025-05-22_10-30-35,0,1,0,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
3,2025-05-22_10-33-58,1,0,1,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
4,2025-05-22_10-36-08,0,3,0,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
5,2025-05-22_10-38-45,1,0,1,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
6,2025-05-22_10-40-45,1,0,1,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
7,2025-05-22_10-42-40,1,0,1,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
8,2025-05-22_10-44-55,0,3,0,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
9,2025-05-22_10-51-31,0,3,0,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
10,2025-05-22_10-54-19,0,2,0,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
11,2025-05-22_10-56-52,0,3,0,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
12,2025-05-22_10-58-11,0,3,0,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
13,2025-05-22_11-00-27,1,0,1,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
14,2025-05-22_11-02-41,1,0,1,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
15,2025-08-22_12-10-43,W,0,1,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager
16,2025-08-23_11-19-33,V,1,0,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager
17,2025-08-23_12-48-27,V,4,0,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager
