ID,Timestamp,WinningTeam,RemainingVillagers,RemainingWerewolves,wa_type,wb_type,va_type,vb_type,vc_type,vd_type,ve_type
1,2025-05-27_11-04-58,0,3,0,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
2,2025-05-27_11-07-41,1,0,1,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
3,2025-05-27_11-10-35,1,0,1,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
4,2025-05-27_11-26-48,0,3,0,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
5,2025-05-27_11-30-21,1,0,1,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
6,2025-05-27_11-31-42,0,2,0,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
7,2025-05-27_11-33-24,0,1,0,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
8,2025-05-27_11-34-56,0,1,0,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
9,2025-05-27_11-36-34,0,1,0,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
10,2025-05-27_11-38-25,1,0,1,aggressive_werewolf,aggressive_werewolf,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
p = 0.3
