ID,Timestamp,WinningTeam,RemainingVillagers,RemainingWerewolves,wa_type,wb_type,va_type,vb_type,vc_type,vd_type,ve_type
1,2025-04-06_09-05-13,0,1,0,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
2,2025-04-06_09-06-21,0,3,0,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
3,2025-04-06_09-08-46,1,0,1,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
4,2025-04-06_09-10-46,1,0,1,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
5,2025-04-06_09-11-43,0,3,0,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
6,2025-04-06_09-12-39,0,3,0,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
7,2025-04-06_09-13-11,0,3,0,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
8,2025-04-06_09-14-27,1,0,1,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
9,2025-04-06_09-15-31,1,0,1,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
10,2025-04-06_09-16-53,1,0,1,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
11,2025-04-06_09-18-35,1,0,1,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
12,2025-04-06_09-20-09,0,2,0,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
13,2025-04-06_09-20-59,1,0,1,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
14,2025-04-06_09-22-17,1,0,1,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
15,2025-04-06_09-24-24,0,1,0,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
16,2025-04-06_09-25-08,0,3,0,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
17,2025-04-06_09-26-40,1,0,1,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
18,2025-04-06_09-28-15,1,0,1,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
19,2025-04-06_09-29-34,0,3,0,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
20,2025-04-06_09-31-36,1,0,1,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
21,2025-04-06_09-34-05,0,1,0,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
22,2025-04-06_09-36-22,1,0,1,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
23,2025-04-06_09-37-38,0,3,0,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
24,2025-04-06_09-39-40,1,0,2,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
25,2025-04-06_09-41-23,1,0,1,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
26,2025-04-06_09-44-06,1,0,1,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
27,2025-04-06_09-46-00,1,0,1,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
28,2025-04-06_09-47-31,1,0,1,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
29,2025-04-06_09-48-51,1,0,1,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
30,2025-04-06_09-49-46,1,0,1,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
31,2025-04-06_09-51-08,1,0,1,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
33,2025-04-06_09-55-59,1,0,1,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
34,2025-04-06_09-58-25,1,0,1,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
35,2025-04-06_10-00-18,1,0,1,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
36,2025-04-06_10-01-56,1,0,1,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
37,2025-04-06_10-03-58,0,1,0,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
38,2025-04-06_10-05-42,1,0,1,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
39,2025-04-06_10-06-16,0,5,0,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
40,2025-05-20_12-56-58,0,3,0,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
41,2025-05-20_13-00-16,0,1,0,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
42,2025-05-20_13-02-50,0,1,0,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
43,2025-05-20_13-04-57,0,3,0,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
44,2025-05-20_13-06-40,0,1,0,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
45,2025-05-20_13-09-47,0,1,0,not_trying_werewolf,not_trying_werewolf,blank ,blank,blank,blank,blank
