ID,Timestamp,WinningTeam,RemainingVillagers,RemainingWerewolves
1,2025-08-29_18-21-26,werewolf,0,1
2,2025-08-29_18-22-05,villager,1,0
3,2025-08-29_18-22-14,werewolf,0,1
4,2025-08-29_18-28-44,villager,1,0
5,2025-08-29_18-29-22,villager,3,0
6,2025-08-29_18-30-33,werewolf,0,1
7,2025-08-29_18-36-15,werewolf,0,1
8,2025-08-29_18-36-31,villager,3,0
9,2025-08-29_18-36-32,villager,1,0
10,2025-08-29_18-36-33,villager,1,0
11,2025-08-29_18-36-34,villager,3,0
12,2025-08-29_18-36-34,villager,1,0
13,2025-08-29_18-36-35,villager,1,0
14,2025-08-29_18-36-36,villager,3,0
15,2025-08-29_18-36-53,villager,3,0
16,2025-08-29_18-37-15,villager,1,0
17,2025-08-29_18-37-19,werewolf,0,1
18,2025-08-29_18-37-19,werewolf,0,1
19,2025-08-29_18-37-41,werewolf,0,1
20,2025-08-29_18-38-06,werewolf,0,1
21,2025-08-29_18-38-31,villager,1,0
22,2025-08-29_18-38-31,villager,1,0
23,2025-08-29_18-38-31,werewolf,0,1
24,2025-08-29_18-38-31,werewolf,0,1
25,2025-08-29_18-38-31,villager,1,0
26,2025-08-29_18-38-31,villager,3,0
27,2025-08-29_18-38-31,villager,1,0
28,2025-08-29_18-38-31,villager,1,0
29,2025-08-29_18-38-31,villager,1,0
30,2025-08-29_18-38-32,villager,1,0
31,2025-08-29_18-38-32,villager,1,0
32,2025-08-29_18-38-32,werewolf,0,1
33,2025-08-29_18-38-32,villager,3,0
34,2025-08-29_18-38-32,villager,1,0
35,2025-08-29_18-38-32,werewolf,0,1
36,2025-08-29_18-38-32,villager,1,0
37,2025-08-29_18-38-32,villager,1,0
38,2025-08-29_18-38-32,villager,1,0
39,2025-08-29_18-38-32,werewolf,0,1
40,2025-08-29_18-38-32,villager,1,0
41,2025-08-29_18-38-32,werewolf,0,1
42,2025-08-29_18-38-32,villager,1,0
43,2025-08-29_18-38-32,villager,1,0
44,2025-08-29_18-38-32,werewolf,0,1
45,2025-08-29_18-38-32,villager,1,0
46,2025-08-29_18-38-32,werewolf,0,1
47,2025-08-29_18-38-32,villager,3,0
48,2025-08-29_18-38-32,werewolf,0,1
49,2025-08-29_18-38-32,werewolf,0,1
50,2025-08-29_18-38-32,villager,1,0
51,2025-08-29_18-38-32,villager,1,0
52,2025-08-29_18-38-32,werewolf,0,1
53,2025-08-29_18-38-32,villager,1,0
54,2025-08-29_18-38-32,werewolf,0,1
55,2025-08-29_18-38-32,villager,1,0
56,2025-08-29_18-38-32,werewolf,0,1
57,2025-08-29_18-38-32,villager,1,0
58,2025-08-29_18-38-32,villager,1,0
59,2025-08-29_18-38-32,werewolf,0,1
60,2025-08-29_18-38-32,villager,3,0
61,2025-08-29_18-38-32,villager,1,0
62,2025-08-29_18-38-32,werewolf,0,1
63,2025-08-29_18-38-32,villager,1,0
64,2025-08-29_18-38-32,villager,1,0
65,2025-08-29_18-38-32,werewolf,0,1
66,2025-08-29_18-38-33,villager,1,0
67,2025-08-29_18-38-33,villager,1,0
68,2025-08-29_18-38-33,villager,1,0
69,2025-08-29_18-38-33,werewolf,0,1
70,2025-08-29_18-38-33,werewolf,0,1
71,2025-08-29_18-38-33,villager,3,0
72,2025-08-29_18-38-33,werewolf,0,1
73,2025-08-29_18-38-33,werewolf,0,1
74,2025-08-29_18-38-33,villager,1,0
75,2025-08-29_18-38-33,villager,1,0
76,2025-08-29_18-38-33,villager,1,0
77,2025-08-29_18-38-33,werewolf,0,1
78,2025-08-29_18-38-33,werewolf,0,1
79,2025-08-29_18-38-33,werewolf,0,1
80,2025-08-29_18-38-33,werewolf,0,1
